Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por relación principal pendiente / Valor Tasación,,,
Intervalos Relación,Préstamos hipotecarios,Principal pendiente,(%) Principal
pendiente/
V. Tasación *
,%,(euros) %,
0,01 - 5,00,28 1,10,372.691,63 0,16,3,43
5,01 - 10,00,73 2,87,1.591.190,71 0,67,7,99
10,01 - 15,00,129 5,07,3.600.311,28 1,52,12,76
15,01 - 20,00,153 6,01,5.320.209,75 2,25,17,41
20,01 - 25,00,141 5,54,7.036.304,04 2,98,22,54
25,01 - 30,00,149 5,85,8.997.037,67 3,80,27,54
30,01 - 35,00,147 5,78,9.010.311,74 3,81,32,35
35,01 - 40,00,145 5,70,11.355.949,62 4,80,37,47
40,01 - 45,00,150 5,89,14.324.054,92 6,06,42,64
45,01 - 50,00,151 5,93,14.681.351,98 6,21,47,49
50,01 - 55,00,152 5,97,16.558.240,14 7,00,52,90
55,01 - 60,00,185 7,27,22.808.209,07 9,65,57,72
60,01 - 65,00,213 8,37,25.567.272,24 10,81,62,58
65,01 - 70,00,215 8,45,28.148.767,92 11,90,67,47
70,01 - 75,00,282 11,08,35.552.307,71 15,04,72,65
75,01 - 80,00,157 6,17,20.366.738,28 8,61,76,94
80,01 - 85,00,38 1,49,5.940.657,53 2,51,82,08
85,01 - 90,00,26 1,02,3.376.069,50 1,43,87,45
90,01 - 95,00,9 0,35,1.528.804,74 0,65,91,98
95,01 - 100,00,2 0,08,319.260,05 0,14,96,30
Total 2.545 100,00 236.455.740,52 100,00,,,
Media Pondera da: 56,58 %
Media Simple: 47,74 %
Mínimo: 0,82 %
Máximo: 97,22 %
*Relación Pri ncip al pendiente / V. Tasación s on medias ponderadas por el princi pal pendien te de vencer.,,,
