BALANCE DEL FONDO (en su origen) (*),,,
EUROS,,,
ACTIVO,,PASIVO,
,,,
Préstamos,600.000.000,Bonos,456.000.000
,,Préstamo B,144.000.000
Tesorería,60.500.000,,
,,Préstamo para constitución del,
Fondo de Reserva,60.000.000,Fondo de Reserva,60.000.000
,,,
,,Primera disposición del Crédito,
Gastos Iniciales,500.000,Subordinado,500.000
,,,
Cupón Corrido,715.000,Préstamo Cupón Corrido,715.000
,,,
,,,661.195.000
TOTAL ACTIVO,661.195.000,TOTAL PASIVO,
,,,
CUENTAS DE ORDEN,,,
,,Segunda disposición del Crédito,
Recursos para desfase,1.670.000,Subordinado,1.670.000
,,,
