Elaborado con datos a 8/06/2010,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN MADRID RESIDENCIAL II, FTA
(División por Tipo de Referencia y diferencial),
,,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
INICIAL RESIDUAL TIPO DIFERENCIAL
SALDO ACTUAL SALDO PONDERADO POR Min. TIPO Máx. TIPO
TIPO REFERENCIA Y DIFERENCIAL (%) NUM PONDERADO POR PONDERADO POR PONDERADO POR
EUROS ACTUAL (%) SALDO ACTUAL ACTUAL (%) ACTUAL (%)
SALDO INICIAL SALDO ACTUAL SALDO ACTUAL (%)
(%)
(meses) (meses),
,TOTALES TIPO FIJO 7 576.987,19 0,09 288 232 5,63 0,00 4,750 6,500
TOTALES EURIBOR BOE PLAZO 12 MESES 3.253 621.865.705,99 95,30 396 357 1,98 0,69 1,431 6,500
0,20 - 0,25 2 952.297,48 0,15 430 398 1,43 0,20 1,431 1,431
0,25 - 0,50 802 185.832.008,97 29,88 429 390 1,63 0,39 1,475 5,370
0,50 - 0,75 1.238 230.654.135,01 37,09 402 368 1,92 0,57 1,715 6,500
0,75 - 1,00 501 87.377.128,15 14,05 363 322 2,07 0,82 1,792 5,250
1,00 - 1,25 278 44.534.415,99 7,16 353 306 2,27 1,03 2,031 5,750
1,25 - 1,50 195 30.660.881,73 4,93 361 320 2,56 1,26 2,465 6,000
1,50 - 1,75 124 22.180.755,57 3,57 351 306 2,75 1,51 2,715 2,950
1,75 - 2,00 49 8.693.654,30 1,40 357 313 3,00 1,76 2,965 3,200
2,00 - 2,25 64 10.980.428,79 1,77 352 313 3,31 2,01 3,215 6,500
TOTALES TIPO C.E.C.A. DE CAJAS DE AHORRO. 10 1.544.255,51 0,24 361 330 4,98 0,26 4,625 5,325
0,00 - 0,25 1 92.060,21 5,96 360 327 5,00 0,00 5,000 5,000
0,25 - 0,50 9 1.452.195,30 94,04 362 330 4,98 0,28 4,625 5,325
TOTALES TIPO HIPOTECARIO DE CONJUNTO DE ENTIDADES. 21 3.366.169,23 0,52 342 288 3,15 0,33 2,810 3,375
0,00 - 0,25 6 1.071.308,68 31,83 356 303 2,89 0,08 2,810 3,009
0,25 - 0,50 3 428.565,82 12,73 340 288 3,08 0,25 3,000 3,171
0,50 - 0,75 12 1.866.294,73 55,44 335 279 3,32 0,5 3,25 3,375
TOTALES TIPO HIPOTECARIOS DE BANCOS 49 7.973.238,91 1,22 354 307 2,87 0,39 2,425 3,554
0,00 - 0,25 13 2.434.665,41 30,54 357 306 2,51 0,04 2,425 2,754
0,25 - 0,50 9 1.308.992,42 16,42 333 278 2,76 0,28 2,675 2,887
0,50 - 0,75 22 3.217.007,97 40,35 351 307 3,00 0,51 2,925 3,187
0,75 - 1,00 1 189.381,32 2,38 360 312 3,30 0,81 3,297 3,297
1,00 - 1,25 4 823.191,79 10,32 391 360 3,51 1,00 3,487 3,554
TOTALES TIPO HIPOTECARIOS DE CAJAS DE AHORRO. 110 17.212.312,58 2,64 353 306 3,47 0,38 2,996 5,250
0,00 - 0,25 33 5.576.247,34 32,40 350 299 3,10 0,04 2,996 3,332
0,25 - 0,50 21 2.981.283,63 17,32 340 287 3,33 0,25 3,246 3,432
0,50 - 0,75 41 5.904.203,61 34,30 359 313 3,63 0,52 3,000 5,250
0,75 - 1,00 6 1.049.954,14 6,10 369 324 3,87 0,80 3,750 4,028
1,00 - 1,25 9 1.700.623,86 9,88 360 322 4,08 1,00 3,996 4,125,
,TOTALES 3.450 652.538.669,41 100,00 394 355 2,05 1,431 6,500,
67,,
