Elaborado con datos a 8/06/2010,,,
,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN MADRID RESIDENCIAL II, FTA
(División por concentración por deudor),,
,,,
,DEUDOR NUM SALDO ACTUAL EUROS SALDO ACTUAL (%),,
,1 1 2.030.371,39 0,31%
2 1 1.206.454,23 0,18%
3 1 936.666,38 0,14%
4 1 756.200,93 0,12%
5 1 678.154,81 0,10%
6 1 660.829,92 0,10%
7 1 660.658,53 0,10%
8 2 595.401,07 0,09%
9 1 576.996,24 0,09%
10 2 574.826,47 0,09%
11 - 20 10 5.451.698,18 0,84%
Resto 3.428 638.410.411,26 97,83%,,
,TOTALES 3.450 652.538.669,41 100,00%,,
69,,,
