Saldo Vivo Numero de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
(Millones de Euros) Prestamos préstamos Vivo total edio ponderadmedio ponderado Media ponderada
Menor o igual que 50,000 1 52 2,38% 6.285.833,26 0,59% 22,90% 4,149% 165,2
50,001 a 100,000 1.160 18,18% 92.219.948,17 8,67% 40,12% 4,146% 253,3
100,001 a 150,000 1.996 31,29% 251.992.220,66 23,70% 55,13% 4,146% 305,5
150,001 a 200,000 1.535 24,06% 265.246.593,85 24,95% 61,22% 4,136% 323,4
200,001 a 300,000 1.105 17,32% 263.699.734,98 24,80% 63,44% 4,149% 327,5
300,001 a 400,000 2 74 4,29% 94.140.814,97 8,85% 64,64% 4,107% 324,7
400,001 a 500,000 7 9 1,24% 34.806.644,05 3,27% 63,30% 4,060% 320,1
500,001 a 750,000 5 7 0,89% 34.461.398,19 3,24% 67,00% 4,101% 320,3
750,001 a 1,000,000 1 4 0,22% 11.790.950,07 1,11% 65,61% 4,074% 296,2
1,000,001 a 2,000,000 8 0,13% 8.652.015,79 0,81% 66,22% 4,071% 324,1
Totales 6.380 100,00% 1.063.296.153,99 100,00% 58,92% 4,135% 312,8
