Saldo Inicial Numero de % sobre el total Saldo % sobre Balance LTV (*) Tipo de Interés Vida Residual (*)
(Millones de Euros) Prestamos préstamos Vivo total Medio ponderado medio ponderado Media ponderada
Menor o igual que 50,000 7 8 1,22% 3.133.837,70 0,29% 21,70% 4,145% 181,0
50,001 a 100,000 9 43 14,78% 70.574.249,76 6,64% 39,60% 4,130% 252,8
100,001 a 150,000 1 .887 29,58% 225.370.772,30 21,20% 54,42% 4,143% 303,5
150,001 a 200,000 1 .651 25,88% 269.735.797,13 25,37% 61,12% 4,138% 320,7
200,001 a 300,000 1 .226 19,22% 274.216.188,66 25,79% 63,27% 4,153% 324,2
300,001 a 400,000 3 56 5,58% 107.517.638,25 10,11% 62,89% 4,111% 322,9
400,001 a 500,000 1 21 1,90% 44.402.263,22 4,18% 59,93% 4,111% 319,9
500,001a 750,000 8 6 1,35% 42.704.430,84 4,02% 62,08% 4,087% 316,6
750,001 a 1,000,000 1 8 0,28% 13.252.823,32 1,25% 65,05% 4,087% 302,1
1,000,001 a 3,000,000 1 4 0,22% 12.388.152,81 1,17% 60,45% 4,058% 314,5
Totales 6.380 100,00% 1.063.296.153,99 100,00% 58,92% 4,135% 312,8
