Antigüedad Numero de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
(meses) Prestamos préstamos Vivo total edio ponderamedio ponderado Media ponderada
Menor o igual que 6.00 465 7,29% 80.434.893,62 7,56% 59,61% 4,212% 320,6
6.01 a 12.00 3 .260 51,10% 566.915.782,81 53,32% 58,70% 3,987% 320,6
12.01 a 18.00 1 .114 17,46% 183.789.307,97 17,28% 60,53% 4,465% 315,3
18.01 a 24.00 362 5,67% 62.532.895,46 5,88% 62,09% 4,021% 309,5
24.01 a 30.00 433 6,79% 68.895.678,87 6,48% 55,93% 4,392% 298,6
30.01 a 36.00 294 4,61% 40.412.605,91 3,80% 55,69% 4,020% 281,0
36.01 a 42.00 215 3,37% 32.299.098,82 3,04% 58,41% 4,429% 273,0
42.01 a 48.00 113 1,77% 12.543.066,95 1,18% 50,62% 4,081% 245,3
48.01 a 54.00 5 7 0,89% 7.303.950,00 0,69% 60,74% 4,391% 246,8
54.01 a 60.00 3 2 0,50% 3.497.353,41 0,33% 56,05% 3,883% 254,4
60.01 a 67.00 3 5 0,55% 4.671.520,17 0,44% 64,30% 4,488% 258,0
Totales 6.380 100,00% 1.063.296.153,99 100,00% 58,92% 4,135% 312,8
