Año Numero de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
Vencimiento Prestamos préstamos Vivo total Medio ponderado medio ponderado Media ponderada
1-Ene-2009 a 31-Dic-2009 3 0,05% 104.985,43 0,01% 15,78% 3,876% 28,3
1-Ene-2010 a 31-Dic-2010 2 0,03% 73.063,11 0,01% 16,21% 4,377% 35,6
1-Ene-2011 a 31-Dic-2011 4 0,06% 294.785,27 0,03% 15,54% 4,128% 53,5
1-Ene-2012 a 31-Dic-2012 7 0,11% 340.038,24 0,03% 23,25% 4,088% 60,3
1-Ene-2013 a 31-Dic-2013 10 0,16% 524.269,37 0,05% 20,82% 4,090% 75,3
1-Ene-2014 a 31-Dic-2014 29 0,45% 2.257.664,04 0,21% 29,45% 4,172% 85,8
1-Ene-2015 a 31-Dic-2015 28 0,44% 2.267.719,71 0,21% 31,90% 4,199% 97,7
1-Ene-2016 a 31-Dic-2016 77 1,21% 7.029.256,15 0,66% 39,98% 4,046% 109,5
1-Ene-2017 a 31-Dic-2017 27 0,42% 2.348.328,76 0,22% 35,91% 4,289% 121,8
1-Ene-2018 a 31-Dic-2018 52 0,82% 5.337.635,53 0,50% 39,47% 4,172% 134,2
1-Ene-2019 a 31-Dic-2019 59 0,92% 5.644.726,00 0,53% 39,88% 4,112% 146,5
1-Ene-2020 a 31-Dic-2020 60 0,94% 6.693.339,24 0,63% 36,47% 4,114% 158,2
1-Ene-2021 a 31-Dic-2021 1 88 2,95% 20.895.627,14 1,97% 43,72% 4,128% 169,6
1-Ene-2022 a 31-Dic-2022 46 0,72% 5.779.906,06 0,54% 43,28% 4,093% 181,3
1-Ene-2023 a 31-Dic-2023 72 1,13% 9.224.383,92 0,87% 48,43% 4,218% 193,5
1-Ene-2024 a 31-Dic-2024 97 1,52% 12.160.554,48 1,14% 50,14% 4,105% 205,5
1-Ene-2025 a 31-Dic-2025 1 05 1,65% 13.606.285,27 1,28% 48,65% 4,128% 217,7
1-Ene-2026 a 31-Dic-2026 4 31 6,76% 60.057.190,45 5,65% 49,01% 4,158% 229,9
1-Ene-2027 a 31-Dic-2027 56 0,88% 7.796.705,19 0,73% 50,01% 4,143% 241,0
1-Ene-2028 a 31-Dic-2028 1 04 1,63% 14.465.627,08 1,36% 53,73% 4,191% 252,8
1-Ene-2029 a 31-Dic-2029 1 42 2,23% 20.943.025,39 1,97% 57,36% 4,173% 266,2
1-Ene-2030 a 31-Dic-2030 1 51 2,37% 22.686.521,80 2,13% 58,46% 4,166% 276,9
1-Ene-2031 a 31-Dic-2031 5 23 8,20% 78.312.718,80 7,37% 54,79% 4,139% 289,8
1-Ene-2032 a 31-Dic-2032 1 10 1,72% 17.340.970,31 1,63% 58,85% 4,187% 300,9
1-Ene-2033 a 31-Dic-2033 1 75 2,74% 27.621.799,87 2,60% 59,69% 4,179% 314,2
1-Ene-2034 a 31-Dic-2034 3 91 6,13% 67.297.429,93 6,33% 60,74% 4,193% 325,9
1-Ene-2035 a 31-Dic-2035 5 41 8,48% 102.708.295,53 9,66% 63,96% 4,190% 337,6
1-Ene-2036 a 31-Dic-2036 2 .890 45,30% 549.483.301,92 51,68% 62,42% 4,107% 349,7
Totales 6.380 100,00% 1.063.296.153,99 100,00% 58,92% 4,135% 312,8
