Cartera de créditos hipotecarios (primeras disposiciones) al día 07/11/2005
Clasificación por fecha formalización del crédito hipotecario,,
Intervalo de fechas,Créditos
%,Principal pendiente
(euros) %
01/07/2002 a 31/12/2002,10 0,15,1.646.869,44 0,17
01/01/2003 a 30/06/2003,821 12,38,96.496.846,21 10,20
01/07/2003 a 31/12/2003,1.314 19,82,169.239.624,31 17,88
01/01/2004 a 30/06/2004,1.647 24,84,227.047.425,01 23,99
01/07/2004 a 31/12/2004,1.435 21,64,217.616.488,58 23,00
01/01/2005 a 30/06/2005,1.403 21,16,234.243.870,46 24,75
Total,6 .630 100 ,00,946.2 91.124,01 10 0,00
Antigüedad media ponderada 17,09 Meses
Antigüedad máxima 29/11/2002 35,31 Meses
Antigüedad mínima 31/05/2005 5,26 Meses,,
