Cartera de créditos hipotecarios (primeras disposiciones) al día 07/11/2005
Clasificación por principal pendiente de vencer,,
Intervalo de principal pendiente
(en euros),Créditos
Nº. %,Principal pendiente
(euros) %
0,00 - 24.999,99,70 1,06,1.170.613,10 0,12
25.000,00 - 49.999,99,395 5,96,15.815.993,38 1,67
50.000,00 - 74.999,99,748 11,28,47.263.902,83 4,99
75.000,00 - 99.999,99,1.000 15,08,87.563.395,50 9,25
100.000,00 - 124.999,99,1.049 15,82,118.259.497,33 12,50
125.000,00 - 149.999,99,937 14,13,128.995.473,80 13,63
150.000,00 - 174.999,99,680 10,26,110.195.838,34 11,65
175.000,00 - 199.999,99,512 7,72,95.067.312,61 10,05
200.000,00 - 224.999,99,355 5,35,75.060.544,74 7,93
225.000,00 - 249.999,99,250 3,77,59.043.130,60 6,24
250.000,00 - 274.999,99,192 2,90,50.425.790,56 5,33
275.000,00 - 299.999,99,131 1,98,37.635.396,19 3,98
300.000,00 - 324.999,99,85 1,28,26.510.430,32 2,80
325.000,00 - 349.999,99,68 1,03,22.814.420,43 2,41
350.000,00 - 374.999,99,38 0,57,13.608.393,39 1,44
375.000,00 - 399.999,99,34 0,51,13.122.411,70 1,39
400.000,00 - 424.999,99,21 0,32,8.650.441,40 0,91
425.000,00 - 449.999,99,13 0,20,5.661.473,97 0,60
450.000,00 - 474.999,99,7 0,11,3.273.347,16 0,35
475.000,00 - 499.999,99,8 0,12,3.876.361,60 0,41
500.000,00 - 524.999,99,9 0,14,4.638.860,21 0,49
525.000,00 - 549.999,99,6 0,09,3.205.630,16 0,34
550.000,00 - 574.999,99,5 0,08,2.811.597,94 0,30
575.000,00 - 599.999,99,6 0,09,3.539.826,72 0,37
600.000,00 - 624.999,99,3 0,05,1.841.969,23 0,19
625.000,00 - 649.999,99,2 0,03,1.271.319,54 0,13
725.000,00 - 749.999,99,1 0,02,727.743,37 0,08
775.000,00 - 799.999,99,2 0,03,1.572.717,76 0,17
825.000,00 - 849.999,99,1 0,02,843.829,93 0,09
850.000,00 - 874.999,99,1 0,02,856.478,92 0,09
950.000,00 - 974.999,99,1 0,02,966.981,28 0,10
Total 6.630 100,00 946.291.124,01 100,00,,
P rincip a l medio : 142.728,68
Principal mínimo: 231,02
Principal máximo: 966.981,28,,
