Cartera de créditos hipotecarios (primeras disposiciones) al día 07/11/2005
Clasificación por Comunidades Autónomas,,
Comunidades Autónomas,Créditos
%,Principal pendiente
(euros) %
Andalucía,863 13,02,101.662.023,91 10,74
Aragón,125 1,89,18.934.118,65 2,00
Asturias,105 1,58,11.528.168,98 1,22
Baleares,292 4,40,39.142.673,20 4,14
Canarias,379 5,72,42.445.974,42 4,49
Cantabria,88 1,33,9.679.312,92 1,02
Cataluña,1.025 15,46,158.354.376,26 16,73
País Vasco,28 0,42,3.263.247,56 0,34
Extremadura,114 1,72,10.442.456,55 1,10
Galicia,259 3,91,31.042.518,02 3,28
Castilla-León,363 5,48,43.056.006,20 4,55
Madrid,1.730 26,09,335.143.121,35 35,42
Castilla La Mancha,411 6,20,45.249.653,92 4,78
Murcia,96 1,45,10.341.532,80 1,09
Navarra,73 1,10,13.577.054,94 1,43
La Rioja,13 0,20,1.688.925,74 0,18
Comunidad Valenciana,666 10,05,70.739.958,59 7,48
Total 6.630 100,00 946.291.124,01 100,00,,
