,Bonos Serie C,,,,
Vida media (años),13,58,11,68,10,24,9,00,8,00
TIR,3,168%,3,168%,3,168%,3,168%,3,168%
Duración (años),10,60,9,38,8,39,7,53,6,80
Vencimiento final,21 05 2025,21 11 2022,22 02 2021,21 05 2019,21 11 2017
(en años),19,48,16,98,15,24,13,47,11,98
,Bonos Serie D,,,,
Vida media (años),13,58,11,68,10,24,9,00,8,00
TIR,4,393%,4,393%,4,393%,4,393%,4,393%
Duración (años),9,70,8,67,7,82,7,05,6,41
Vencimiento final,21 05 2025,21 11 2022,22 02 2021,21 05 2019,21 11 2017
(en años),19,48,16,98,15,24,13,47,11,98
,Bonos Serie E,,,,
Vida media (años),14,65,12,63,11,18,9,85,8,74
TIR,6,105%,6,105%,6,105%,6,105%,6,105%
Duración (años),9,00,8,18,7,51,6,87,6,29
Vencimiento final,21 05 2025,21 11 2022,22 02 2021,21 05 2019,21 11 2017
(en años),19,48,16,98,15,24,13,47,11,98
