,,,,,,
Fecha de,,Bonos de,Bonos de,Bonos de,Bonos de,Bonos de
Fijacion de,Euribor 3,Titulización,Titulización,Titulización,Titulización,Titulización
tipo,meses,Serie A1,Serie A2,Serie B,Serie C,Serie D
,,5 pbs,10 pbs,20 pbs,30 pbs,60 pbs
28/03/2003,2,525%,2,575%,2,625%,2,725%,2,825%,3,125%
27/06/2003,2,143%,2,193%,2,243%,2,343%,2,443%,2,743%
29/09/2003,2,130%,2,180%,2,230%,2,330%,2,430%,2,730%
29/12/2003,2,140%,2,190%,2,240%,2,340%,2,440%,2,740%
29/03/2004,1,955%,2,005%,2,055%,2,155%,2,255%,2,555%
29/06/2004,2,121%,2,171%,2,221%,2,321%,2,421%,2,721%
29/09/2004,2,147%,2,197%,2,247%,2,347%,2,447%,2,747%
29/12/2004,2,176%,2,226%,2,276%,2,376%,2,476%,2,776%
29/03/2005,2,145%,2,195%,2,245%,2,345%,2,445%,2,745%
14/04/2005,2,136%,2,186%,2,236%,2,336%,2,436%,2,736%
