COBROS FLUJOS DEL FONDO
(IMPORTES EN EUROS)
TACP = 14.00%
1.500.000.000 Emisión de los Bonos
25.312.551 Préstamo Subordinado
1.544.743 Gastos de Constitución y Emisión
23.250.000 Constitución Fondo de Reserva
Fecha de Pago Saldo Vivo Amortización del Balance Efectivo Interés (Neto del Interés Fondo de Total
Certificados de Principal de los Reducción Cuenta de Swap) Reinversión Reserva
Transmisión de Certificados Amortización Disponible
Hipoteca
(1) (2) (3) (4) (5) (6) (7) (8)
15 sep 2014 260.018.071 13.298.359 - 2.004.779 60.748 11.250.000 26.613.885
15 dic 2014 247.325.944 12.692.127 - 1.907.448 60.748 11.250.000 25.910.323
16 mar 2015 235.210.534 12.115.411 - 1.814.548 60.748 11.250.000 25.240.706
15 jun 2015 223.646.694 11.563.840 - 1.725.873 60.748 11.250.000 24.600.461
15 sep 2015 212.486.405 11.160.289 - 1.658.811 61.415 11.250.000 24.130.515
15 dic 2015 201.948.507 10.537.898 - 1.559.519 60.748 11.250.000 23.408.164
15 mar 2016 191.913.038 10.035.469 - 1.482.398 60.748 11.250.000 22.828.614
15 jun 2016 182.228.033 9.685.006 - 1.424.034 61.415 11.250.000 22.420.455
15 sep 2016 172.988.820 9.239.213 - 1.352.390 61.415 11.250.000 21.903.018
15 dic 2016 164.272.801 8.716.019 - 1.270.448 60.748 11.250.000 21.297.215
15 mar 2017 156.027.497 8.245.304 - 1.193.730 60.080 11.250.000 20.749.115
15 jun 2017 147.988.621 8.038.876 - 1.158.614 61.415 11.250.000 20.508.906
15 sep 2017 - 147.988.621 - 575.133 61.415 11.250.000 159.875.169
1.500.000.000 64.957.059 219.682.911 4.883.684 818.874.413 2.608.398.066
