COBROS FLUJOS DEL FONDO
(IMPORTES EN EUROS)
TACP = 12.00%
1.500.000.000 Emisión De Los Bonos
25.312.551 Préstamo Para Gastos De Constitución
1.544.743 Gastos De Constitución Y Emisión
23.250.000 Constitución Fondo De Reserva
Saldo Vivo
Certificados de Amortización Del Balance Efectivo Interés Interés Fondo De Reserva
Fecha De Pago Total
Transmisión de Principal Reducción (Neto Del Swap) Reinversión Disponible
Hipoteca
(1) (2) (3) (4) (5) (6) (7) (8)
16 dic 2013 367.495.819 16.374.747 - 2.820.793 64.258 11.899.988 31.159.785
17 mar 2014 351.746.175 15.749.644 - 2.700.515 61.517 11.392.370 29.904.046
16 jun 2014 336.608.839 15.137.336 - 2.584.869 60.748 11.250.000 29.032.953
15 sep 2014 322.071.670 14.537.169 - 2.473.762 60.748 11.250.000 28.321.679
15 dic 2014 308.111.484 13.960.186 - 2.367.063 60.748 11.250.000 27.637.996
16 mar 2015 294.702.754 13.408.730 - 2.264.588 60.748 11.250.000 26.984.066
15 jun 2015 281.824.747 12.878.007 - 2.166.166 60.748 11.250.000 26.354.921
15 sep 2015 269.317.369 12.507.378 - 2.093.885 61.415 11.250.000 25.912.678
15 dic 2015 257.432.324 11.885.045 - 1.979.789 60.748 11.250.000 25.175.582
15 mar 2016 246.042.045 11.390.279 - 1.892.550 60.748 11.250.000 24.593.578
15 jun 2016 234.979.366 11.062.678 - 1.828.365 61.415 11.250.000 24.202.459
15 sep 2016 224.358.368 10.620.998 - 1.746.288 61.415 11.250.000 23.678.702
15 dic 2016 214.275.400 10.082.969 - 1.649.784 60.748 11.250.000 23.043.501
15 mar 2017 204.677.289 9.598.111 - 1.558.851 60.080 11.250.000 22.467.043
15 jun 2017 195.260.055 9.417.233 - 1.521.524 61.415 11.250.000 22.250.172
15 sep 2017 186.034.620 9.225.435 - 1.450.964 61.415 11.250.000 21.987.814
15 dic 2017 177.473.487 8.561.133 - 1.368.581 60.748 11.250.000 21.240.462
15 mar 2018 169.526.372 7.947.115 - 1.292.398 60.080 11.250.000 20.549.593
15 jun 2018 161.379.581 8.146.791 - 1.260.223 61.415 11.250.000 20.718.430
17 sep 2018 153.735.561 7.644.020 - 1.226.537 62.751 11.250.000 20.183.307
17 dic 2018 146.481.444 7.254.117 - 1.131.606 60.748 11.250.000 19.696.471
15 mar 2019 - 146.481.444 - 544.526 58.745 11.250.000 158.334.715
1.500.000.000 28.582.826 248.365.159 5.199.507 922.357.396 2.704.504.889
