PAGOS FLUJOS DEL FONDO
(IMPORTES EN EUROS)
TACP = 14.00%
1.500.000.000 Emisión de los Bonos
25.312.551 Préstamo Subordinado
1.544.743 Gastos de Constitución y Emisión
23.250.000 Constitución Fondo de Reserva
Fecha de Gastos del Pagos de Interés Dotación para Balance Efectivo Pagos de Reposición del Interés Préstamo Principal Remuneración Total
Pago Fondo de los Bonos el Fondo Para Aumento Cuenta Principal de los Fondo de Reserva Subordinado Préstamo Variable
Amortización de Amortización Bonos Subordinado Préstamo
Subordinado
(1) (9) (10) (11) (12) (13) (14) (15) (16) (17) (18)
12.692.127 12.692.127
16 mar 2015 32.144 1.420.786 12.115.411 - 12.115.411 11.250.000 - - 404.497 25.222.838
15 jun 2015 30.936 1.351.188 11.563.840 - 11.563.840 11.250.000 - - 391.240 24.587.204
15 sep 2015 30.110 1.298.876 11.160.289 - 11.160.289 11.250.000 - - 370.950 24.110.225
15 dic 2015 28.670 1.220.647 10.537.898 - 10.537.898 11.250.000 - - 355.491 23.392.706
15 mar 2016 27.544 1.160.111 10.035.469 - 10.035.469 11.250.000 - - 344.037 22.817.160
15 jun 2016 26.837 1.114.576 9.685.006 - 9.685.006 11.250.000 - - 329.613 22.406.032
15 sep 2016 25.863 1.058.328 9.239.213 - 9.239.213 11.250.000 - - 312.783 21.886.187
15 dic 2016 24.663 993.749 8.716.019 - 8.716.019 11.250.000 - - 296.902 21.281.334
15 mar 2017 23.600 933.309 8.245.304 - 8.245.304 11.250.000 - - 290.574 20.742.787
15 jun 2017 23.293 906.163 8.038.876 - 8.038.876 11.250.000 - - 11.004.590 31.222.922
15 sep 2017 22.482 859.476 147.988.621 - 147.988.621 - - - - 148.870.579
3.372.711 172.879.294 1.500.000.000 64.957.059 1.500.000.000 795.624.413 1.741.616 25.312.551 44.510.422 2.608.398.066
