Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por principal pendiente,,
Intervalo de principal
(en euros),Préstamos
Nº. %,Principal pendiente
(euros) %
0,00 -14.999,99,305 1,60,3.937.845,89 0,26
15.000,00 -29.999,99,2.633 13,77,61.510.210,76 4,13
30.000,00 -44.999,99,2.984 15,61,111.553.786,46 7,48
45.000,00 -59.999,99,2.732 14,29,143.284.193,00 9,61
60.000,00 -74.999,99,2.282 11,94,154.172.695,72 10,34
75.000,00 -89.999,99,2.092 10,94,172.251.742,28 11,55
90.000,00 -104.999,99,1.513 7,91,146.886.567,46 9,85
105.000,00 -119.999,99,1.267 6,63,142.630.484,54 9,57
120.000,00 -134.999,99,769 4,02,97.995.154,86 6,57
135.000,00 -149.999,99,677 3,54,96.440.975,41 6,47
150.000,00 -164.999,99,568 2,97,89.256.018,03 5,99
165.000,00 -179.999,99,425 2,22,73.327.738,68 4,92
180.000,00 -194.999,99,218 1,14,40.766.406,39 2,73
195.000,00 -209.999,99,190 0,99,38.480.591,58 2,58
210.000,00 -224.999,99,117 0,61,25.410.743,61 1,70
225.000,00 -239.999,99,113 0,59,26.251.979,42 1,76
