Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por Entidad Cedente,,
Entidad Cedente,Préstamos
Nº. %,Principal pendiente
(euros) %
CAIXA POPULAR-CAIXA RURAL, S.C.C.V.,75 0,39,10.530.529,87 0,71
CAIXA RURAL DE BALEARS, S.C.C.,431 2,25,62.759.025,88 4,21
CAJA CAMPO, CAJA RURAL, S.C.C.,842 4,40,57.188.587,56 3,84
CAJA RURAL CENTRAL, S.C.C.,763 3,99,48.387.670,42 3,25
CAJA RURAL DE ALBACETE, S.C.C.,285 1,49,22.358.761,39 1,50
CAJA RURAL DE ARAGON, S.C.C.,1.331 6,96,132.728.464,74 8,90
CAJA RURAL DE BURGOS, C.C.,705 3,69,47.290.902,72 3,17
CAJA RURAL DE CANARIAS, S.C.C.,746 3,90,63.831.768,70 4,28
CAJA RURAL DE CIUDAD REAL, S.C.C.,643 3,36,46.923.335,01 3,15
CAJA RURAL DE CORDOBA, S.C.C.,78 0,41,10.184.676,11 0,68
CAJA RURAL DE EXTREMADURA, S.C.C.,707 3,70,31.307.716,46 2,10
CAJA RURAL DE GRANADA, S.C.C.,2.687 14,05,173.549.145,77 11,64
CAJA RURAL DE NAVARRA, S.C.C.,1.121 5,86,122.747.821,39 8,23
CAJA RURAL DE TENERIFE, S.C.C.,349 1,83,26.953.169,26 1,81
CAJA RURAL DE TERUEL, S.C.C.,209 1,09,16.504.776,41 1,11
CAJA RURAL DE ZAMORA, C.C.,456 2,39,38.314.810,33 2,57
CAJA RURAL DEL DUERO, S.C.C.L.,853 4,46,59.927.071,73 4,02
CAJA RURAL DEL MEDITERRANEO,
RURALCAJA, S.C.C.,1.504 7,87,172.747.782,97 11,59
CAJA RURAL DEL SUR, S.C.C.,5.334 27,90,346.699.641,53 23,25
Total 19.119 100,00 1.490.935.658,25 100,00,,
