Entidad Cedente,Factor de ajuste
CAIXA POPULAR-CAIXA RURAL, S.C.C.V.,0,9936
CAIXA RURAL DE BALEARS, S.C.C.,1,1270
CAJA CAMPO, CAJA RURAL, S.C.C.,1,0104
CAJA RURAL CENTRAL, S.C.C.,0,9701
CAJA RURAL DE ALBACETE, S.C.C.,1,0065
CAJA RURAL DE ARAGON, S.C.C.,0,9981
CAJA RURAL DE BURGOS, C.C.,0,9979
CAJA RURAL DE CANARIAS, S.C.C.,0,9835
CAJA RURAL DE CIUDAD REAL, S.C.C.,1,0226
CAJA RURAL DE CORDOBA, S.C.C.,0,9895
CAJA RURAL DE EXTREMADURA, S.C.C.,0,9686
CAJA RURAL DE GRANADA, S.C.C.,0,9828
CAJA RURAL DE NAVARRA, S.C.C.,1,0736
CAJA RURAL DE TENERIFE, S.C.C.,1,0111
CAJA RURAL DE TERUEL, S.C.C.,1,1239
CAJA RURAL DE ZAMORA, C.C.,1,0185
CAJA RURAL DEL DUERO, S.C.C.L.,0,9793
CAJA RURAL DEL MEDITERRANEO,
RURALCAJA, S.C.C.,1,0057
CAJA RURAL DEL SUR, S.C.C.,0,9579
