Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por la fecha amortización final,,,
Año de Amortización Final,Préstamos
%,Principal pendiente
(euros) %,Vida Residual mp*
Meses Fecha
2007,6 0,03,166.303,80 0,01,18,94 7/10/2007
2008,25 0,13,487.231,46 0,03,28,74 31/07/2008
2009,84 0,43,1.862.438,00 0,12,40,38 20/07/2009
2006,1 0,01,231,06 0,00,0,33 5/05/2006
2007,7 0,04,175.329,81 0,01,17,58 12/10/2007
2008,24 0,13,416.672,40 0,03,26,92 22/07/2008
2009,82 0,43,1.751.432,59 0,12,38,90 22/07/2009
2010,128 0,67,2.740.237,18 0,18,50,67 15/07/2010
2011,201 1,05,5.848.862,61 0,39,62,96 24/07/2011
2012,321 1,68,9.039.183,89 0,61,74,51 10/07/2012
2013,460 2,41,14.214.046,56 0,95,86,30 4/07/2013
2014,587 3,07,21.301.888,30 1,43,98,58 12/07/2014
2015,580 3,03,23.085.705,87 1,55,109,75 17/06/2015
2016,468 2,45,18.946.245,75 1,27,122,57 12/07/2016
2017,486 2,54,21.100.066,45 1,42,134,30 4/07/2017
2018,517 2,70,22.813.519,39 1,53,146,41 7/07/2018
2019,852 4,46,41.854.921,99 2,81,158,94 24/07/2019
2020,1.106 5,78,64.070.688,00 4,30,169,87 20/06/2020
2021,496 2,59,24.940.662,43 1,67,182,70 16/07/2021
2022,561 2,93,33.203.146,03 2,23,194,13 29/06/2022
2023,605 3,16,39.705.157,97 2,66,206,48 10/07/2023
2024,1.060 5,54,78.605.853,28 5,27,218,95 23/07/2024
2025,1.403 7,34,110.662.225,01 7,42,229,70 15/06/2025
2026,357 1,87,25.564.390,50 1,71,242,76 18/07/2026
2027,525 2,75,39.481.384,85 2,65,254,10 28/06/2027
2028,568 2,97,46.345.984,38 3,11,266,45 8/07/2028
2029,1.139 5,96,104.947.381,94 7,04,279,29 3/08/2029
2030,1.817 9,50,178.840.801,08 12,00,289,39 6/06/2030
2031,152 0,80,13.145.184,62 0,88,301,52 10/06/2031
2032,221 1,16,21.096.437,06 1,41,314,85 20/07/2032
2033,327 1,71,35.266.464,73 2,37,326,81 19/07/2033
2034,1.345 7,03,156.546.589,24 10,50,339,93 23/08/2034
