Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,20 0,10,311.870,69 0,02,4,00
5,01 - 10,00,101 0,53,2.436.570,93 0,16,8,09
10,01 - 15,00,344 1,80,9.613.350,58 0,64,12,79
15,01 - 20,00,629 3,29,20.843.442,08 1,40,17,80
20,01 - 25,00,883 4,62,34.534.254,67 2,32,22,74
25,01 - 30,00,1.079 5,64,47.436.073,39 3,18,27,63
30,01 - 35,00,1.111 5,81,53.195.780,88 3,57,32,54
35,01 - 40,00,1.121 5,86,62.830.132,69 4,21,37,54
40,01 - 45,00,1.262 6,60,79.079.631,82 5,30,42,55
45,01 - 50,00,1.198 6,27,85.198.084,78 5,71,47,56
50,01 - 55,00,1.311 6,86,101.111.227,13 6,78,52,57
55,01 - 60,00,1.440 7,53,116.252.729,96 7,80,57,63
60,01 - 65,00,1.558 8,15,135.615.079,87 9,10,62,55
65,01 - 70,00,1.706 8,92,155.555.413,98 10,43,67,54
70,01 - 75,00,1.891 9,89,185.295.347,81 12,43,72,61
75,01 - 80,00,2.650 13,86,294.430.577,87 19,75,77,44
80,01 - 85,00,262 1,37,33.504.112,34 2,25,82,48
85,01 - 90,00,208 1,09,25.489.792,59 1,71,87,46
90,01 - 95,00,190 0,99,25.588.838,43 1,72,92,71
95,01 - 100,00,155 0,81,22.613.345,76 1,52,96,99
19.119 100,00 1.490.935.658,25 100,00,,,
Media Pondera da: 60,99 %
Media Simple: 54,08 %
Mínimo: 0,21 %
Máximo: 99,32 %
*Relación Pri nci pal pendiente /V. Tasación s on medias p onderadas por el princip al pendient e.,,,
