Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por tipos de interés nominales mínimos aplicables,,,
Intervalo % Tipo Interés
mínimo,Préstamos
%,Principal pendiente
(euros) %,%Tipo*
interés mín.
0,50 - 0,99,1 0,01,193.090,37 0,01,0,75
1,50 - 1,99,1 0,01,256.707,74 0,02,1,95
2,00 - 2,49,211 1,10,23.414.497,26 1,57,2,06
2,50 - 2,99,3.257 17,04,273.337.353,08 18,33,2,69
3,00 - 3,49,1.985 10,38,177.000.650,95 11,87,3,10
3,50 - 3,99,4.231 22,13,331.063.167,77 22,21,3,58
4,00 - 4,49,862 4,51,47.611.035,21 3,19,4,03
4,50 - 4,99,691 3,61,33.143.810,47 2,22,4,78
5,00 - 5,49,565 2,96,18.940.915,02 1,27,5,00
5,50 - 5,99,38 0,20,1.108.681,40 0,07,5,64
6,01
6,52
7,00
7,50
8,00
8,50
6,00 - 6,49,31 0,16,729.161,03 0,05,
6,50 - 6,99,6 0,03,190.571,15 0,01,
7,00 - 7,49,3 0,02,59.301,78 0,00,
7,50 - 7,99,1 0,01,28.003,56 0,00,
8,00 - 8,49,2 0,01,32.575,45 0,00,
8,50 - 8,99,1 0,01,18.518,05 0,00,
Sin T.I.N. mínimo aplicable,7.233 37,83,583.807.617,96 39,16,
Total 19.119 100,00 1.490.935.658,25 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
