Cartera de préstamos hipotecarios al día 25.04.2006
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
10,00 - 10,49,124 0,65,8.626.954,94 0,58,10,00
10,50 - 10,99,24 0,13,1.007.505,40 0,07,10,62
11,00 - 11,49,534 2,79,37.408.192,63 2,51,11,00
11,50 - 11,99,2 0,01,204.654,29 0,01,11,75
12,00 - 12,49,3.226 16,87,212.475.438,81 14,25,12,00
12,50 - 12,99,27 0,14,1.251.358,73 0,08,12,59
13,00 - 13,49,1.157 6,05,50.752.554,98 3,40,13,00
13,50 - 13,99,13 0,07,748.443,36 0,05,13,70
14,00 - 14,49,665 3,48,50.078.312,15 3,36,14,00
14,50 - 14,99,7 0,04,277.877,13 0,02,14,56
15,00 - 15,49,1.717 8,98,158.796.820,36 10,65,15,00
15,50 - 15,99,1 0,01,28.940,16 0,00,15,50
16,00 - 16,49,643 3,36,36.950.099,21 2,48,16,00
16,50 - 16,99,1 0,01,49.747,07 0,00,16,75
17,00 - 17,49,314 1,64,20.110.916,44 1,35,17,00
