,Bonos Serie A1,,,,
Vida media (años),0,70,0,61,0,55,0,50,0,45
TIR,2,505%,2,505%,2,505%,2,505%,2,505%
Duración (años),0,68,0,59,0,53,0,48,0,44
Vencimiento final,25 06 2007,26 03 2007,25 12 2006,25 12 2006,25 09 2006
(en años),1,38,1,13,0,88,0,88,0,63
,,,,,
,Bonos Serie A2,,,,
Vida media (años),8,81,7,56,6,59,5,78,5,13
TIR,2,633%,2,633%,2,633%,2,633%,2,633%
Duración (años),7,38,6,45,5,71,5,08,4,56
Vencimiento final,25 12 2024,26 09 2022,25 12 2020,25 03 2019,25 09 2017
(en años),18,89,16,64,14,89,13,13,11,64
