Info,,
,,
,AUDITED PORTFOLIO, TDA 22-MIXTO ISSUE
(Grouped by current balance)
GROUP 1,
,,
,WEIGHTED WEIGHTED AVERAGE Min. Max.
WEIGHTED
CURRENT BALANCE TOTAL CURRENT CURRENT AVERAGE AVERAGE CURRENT CURRENT CURRENT
NUM AVERAGE INITIAL
EUROS BALANCE EUROS BALANCE % REMAINING CURRENT BALANCE INTEREST INTEREST
TERM (months)
TERM (months) INTEREST RATE EUROS RATE RATE,
,0,00 - 15.000,00 60 80.321,70 0,03 222 195 4,31 10.700,50 2,83 5,95
15.000,00 - 30.000,00 28 639.295,98 0,20 255 226 4,20 23.815,46 3,00 5,95
30.000,00 - 45.000,00 643 26.595.656,45 8,47 234 179 3,77 41.489,71 2,25 6,00
45.000,00 - 60.000,00 741 38.553.891,59 12,28 259 215 3,80 52.392,14 2,64 6,00
60.000,00 - 75.000,00 600 40.629.939,72 12,94 289 256 3,68 67.988,41 2,75 5,25
75.000,00 - 90.000,00 517 42.314.788,12 13,47 309 280 3,64 82.075,02 2,70 6,00
90.000,00 - 105.000,00 386 37.689.278,61 12,00 324 300 3,68 97.843,24 2,75 5,00
105.000,00 - 120.000,00 300 33.760.025,49 10,74 329 308 3,78 112.697,27 2,56 4,50
120.000,00 - 135.000,00 269 34.041.476,88 10,85 337 318 3,75 126.690,47 2,43 4,50
135.000,00 - 150.000,00 144 20.431.890,60 6,51 330 310 3,72 142.018,62 2,70 4,50
150.000,00 - 165.000,00 98 15.379.346,55 4,90 340 323 3,65 157.052,76 2,75 4,25
165.000,00 - 180.000,00 49 8.388.356,12 2,67 342 323 3,66 171.270,03 2,81 4,31
180.000,00 - 195.000,00 28 5.240.049,35 1,67 326 305 3,53 187.227,60 2,70 4,50
195.000,00 - 210.000,00 24 4.806.449,13 1,53 325 308 3,67 200.341,95 2,76 4,50
210.000,00 - 225.000,00 3 644.421,23 0,21 360 345 3,68 214.820,60 3,13 3,95
225.000,00 - 240.000,00 4 927.386,50 0,30 335 315 3,76 232.028,06 3,28 4,25
240.000,00 - 255.000,00 4 987.001,84 0,31 284 253 3,88 246.865,34 3,10 4,50
255.000,00 - 270.000,00 1 259.113,30 0,08 180 136 4,25 259.113,30 4,25 4,25
270.000,00 - 285.000,00 1 270.548,26 0,09 240 212 3,50 270.548,26 3,50 3,50
300.000,00 - 315.000,00 3 909.785,40 0,29 211 169 3,45 303.278,56 3,00 3,75
315.000,00 - 330.000,00 2 642.874,66 0,20 198 151 3,50 321.442,96 3,50 3,50
Más de 330000,00 2 878.475,17 0,28 195 181 3,41 465.542,85 3,25 3,50,
,TOTAL 3.907 3 14.070.372,65 100 304 275 3,71 100.317,47 2,25 6,00,
87,,
