,mation as of 09/11/2004
,
,AUDITED PORTFOLIO, TDA 22-MIXTO ISSUE
(Grouped by Reference Interest Rate)
GROUP 1
,
,WEIGHTED
WEIGHTED Min. Max.
WEIGHTED AVERAGE WEIGHTED
TOTAL CURRENT CURRENT AVERAGE CURRENT CURRENT
REFERENCE INDEX NUM AVERAGE INITIAL CURRENT AVERAGE
BALANCE EUROS BALANCE % REMAINING INTEREST INTEREST
TERM (months) INTEREST MARGIN
TERM (months) RATE RATE
RATE
,EURIBOR 2264 2 09.721.241,55 66,78 322 300 3,66 1,11 2,43 5,95
0,00 - 0,50 8 5 40.253,42 0,26 256 211 3,08 0,19 2,43 4,50
0,50 - 1,00 525 5 4.716.617,77 26,09 311 289 3,24 0,75 2,56 4,50
1,00 - 1,50 1557 1 38.541.838,81 66,06 328 306 3,78 1,20 3,00 5,95
1,50 - 2,00 157 1 5.055.360,50 7,18 320 299 4,00 1,53 3,50 5,00
2,00 - 2,50 7 6 17.979,08 0,29 201 172 4,46 2,04 4,25 4,75
2,50 - 3,00 10 2 49.191,97 0,12 361 342 5,37 2,53 4,75 5,95
,IRPH 1451 9 4.866.532,38 30,21 271 231 3,84 0,14 2,70 6,00
,-0,50 - 0,00 5 3 65.760,82 0,39 213 143 3,25 -0,33 3,00 3,50
,0,00 - 0,50 1331 8 6.328.997,27 91,00 273 233 3,80 0,10 2,70 6,00
0,50 - 1,00 93 7 .115.793,22 7,50 262 229 4,21 0,53 3,75 6,00
1,00 - 1,50 17 8 09.324,37 0,85 237 182 4,72 1,09 4,38 5,95
1,50 - 2,00 5 2 46.656,70 0,26 205 155 5,10 1,50 5,00 5,25
MIBOR 192 9 .482.598,72 3,02 233 152 3,76 1,02 2,25 6,00
0,00 - 0,50 2 9 7.726,21 1,03 240 150 2,84 0,24 2,25 3,25
0,50 - 1,00 17 9 51.786,80 10,04 208 128 3,46 0,74 2,75 4,00
1,00 - 1,50 165 8 .062.836,88 85,02 238 157 3,77 1,04 3,06 6,00
1,50 - 2,00 7 2 89.327,24 3,05 197 109 4,82 1,50 3,90 6,00
2,00 - 2,50 1 8 0.921,59 0,85 120 48 4,25 2,00 4,25 4,25
,TOTAL 3.907 314.070.372,65 100 304 275 3,71 2,25 6,00
92,
