420.000,00 - 439.999,99 52 0,58% 22.376.260 1,50%
440.000,00 - 459.999,99 57 0,63% 25.540.649 1,72%
460.000,00 - 479.999,99 48 0,53% 22.430.488 1,51%
480.000,00 - 499.999,99 48 0,53% 23.477.086 1,58%
500.000,00 - 519.999,99 30 0,33% 15.204.440 1,02%
520.000,00 - 539.999,99 32 0,36% 16.917.270 1,14%
540.000,00 - 559.999,99 23 0,26% 12.650.715 0,85%
560.000,00 - 579.999,99 22 0,24% 12.491.885 0,84%
580.000,00 - 599.999,99 8 0,09% 4.697.700 0,32%
600.000,00 - 619.999,99 6 0,07% 3.638.420 0,24%
620.000,00 - 639.999,99 2 0,02% 1.255.000 0,08%
640.000,00 - 659.999,99 1 0,01% 652.000 0,04%
660.000,00 - 679.999,99 1 0,01% 660.000 0,04%
680.000,00 - 699.999,99 1 0,01% 700.000 0,05%
1.111.000,01 - 1.131.000,00 11 0,12% 9.421.200 0,63%
TOTALES 8.992 100,00% 1.488.203.537,66 100,00%
