Cartera de Préstamos Hipotecarios a fecha 19 03 2007
TIPOS DE INTERES ACTUAL DE LOS PRESTAMOS HIPOTECARIOS
INTERVALO Nº préstamos %Nº préstamos Saldo Vivo %Saldo vivo
2,90 - 2,99 3 0,03% 560.258,63 0,04%
3,00 - 3,49 19 0,21% 3.888.399,03 0,27%
3,50 - 3,99 644 7,16% 115.728.888,31 8,16%
4,00 - 4,49 1.958 21,77% 332.890.360,03 23,47%
4,50 - 4,99 4.879 54,26% 759.863.456,39 53,57%
5,00 - 5,49 966 10,74% 126.812.751,40 8,94%
5,50 - 5,99 467 5,19% 68.610.686,14 4,84%
6,00 - 6,49 35 0,39% 5.914.707,54 0,42%
6,50 - 6,99 16 0,18% 3.139.580,16 0,22%
7,00 - 7,49 2 0,02% 209.824,47 0,01%
7,50 - 8,00 3 0,03% 914.046,88 0,06%
TOTALES 8.992 100,00% 1.418.532.958,98 100,00%
