Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
PRINCIPAL INICIAL DE LOS PRESTAMOS HIPOTECARIOS DE SEGUNDO RANGO,,,,
INTERVALO (EUROS),Nº préstamos,%Nº préstamos,Saldo Vivo,%Saldo vivo
7.600,00 - 9.999,99 6 1,14% 53.734 0,22%
10.000,00 - 19.999,99 12 2,29% 179.425 0,75%
20.000,00 - 29.999,99 26 4,95% 651.328 2,71%
30.000,00 - 39.999,99 57 10,86% 2.064.448 8,57%
40.000,00 - 49.999,99 253 48,19% 11.248.505 46,72%
50.000,00 - 59.999,99 129 24,57% 6.925.300 28,76%
60.000,00 - 69.999,99 28 5,33% 1.779.071 7,39%
70.000,00 - 79.999,99 7 1,33% 522.045 2,17%
80.000,00 - 89.999,99 4 0,76% 330.780 1,37%
100.000,00 - 109.999,99 1 0,19% 102.403 0,43%
100.840,01 - 110.840,00 2 0,38% 221.110 0,92%
TOTALES 525 100,00% 24.078.149,96 100,00%,,,,
