Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
PRINCIPAL INICIAL DE LOS PRESTAMOS HIPOTECARIOS,,,,
INTERVALO (EUROS),Nº préstamos,%Nº préstamos,Saldo Vivo,%Saldo vivo
12.000,00 - 19.999,99 20 0,22% 320.800 0,02%
20.000,00 - 39.999,99 191 2,12% 6.117.144 0,41%
40.000,00 - 59.999,99 450 5,00% 22.515.710 1,51%
60.000,00 - 79.999,99 879 9,78% 61.693.852 4,15%
80.000,00 - 99.999,99 1.156 12,86% 103.867.003 6,98%
100.000,00 - 119.999,99 1.090 12,12% 119.226.476 8,01%
120.000,00 - 139.999,99 960 10,68% 123.947.239 8,33%
140.000,00 - 159.999,99 749 8,33% 111.769.417 7,51%
160.000,00 - 179.999,99 630 7,01% 106.717.007 7,17%
180.000,00 - 199.999,99 510 5,67% 96.263.752 6,47%
200.000,00 - 219.999,99 343 3,81% 71.624.358 4,81%
220.000,00 - 239.999,99 284 3,16% 64.907.339 4,36%
240.000,00 - 259.999,99 271 3,01% 67.178.089 4,51%
260.000,00 - 279.999,99 236 2,62% 63.444.550 4,26%
280.000,00 - 299.999,99 210 2,34% 60.508.129 4,07%
300.000,00 - 319.999,99 160 1,78% 49.375.365 3,32%
320.000,00 - 339.999,99 106 1,18% 34.829.577 2,34%
340.000,00 - 359.999,99 124 1,38% 43.182.113 2,90%
360.000,00 - 379.999,99 112 1,25% 41.245.930 2,77%
380.000,00 - 399.999,99 84 0,93% 32.655.670 2,19%
400.000,00 - 419.999,99 85 0,95% 34.700.905 2,33%,,,,
