Cartera de Préstamos Hipotecarios a fecha 19 03 2007,,,,
TIPO DE INTERÉS ACTUAL DE LOS PRESTAMOS HIPOTECARIOS DE SEGUNDO RANGO,,,,
INTERVALO,Nº préstamos,%Nº préstamos,Saldo Vivo,%Saldo vivo
3,00 - 3,49 2 0,38% 100.172,76 0,42%
3,50 - 3,99 28 5,33% 1.224.501,65 5,13%
4,00 - 4,49 49 9,33% 2.207.047,20 9,24%
4,50 - 4,99 121 23,05% 5.672.748,73 23,75%
5,00 - 5,49 59 11,24% 2.539.466,88 10,63%
5,50 - 5,99 124 23,62% 5.685.381,43 23,81%
6,00 - 6,49 55 10,48% 2.417.541,84 10,12%
6,50 - 6,99 57 10,86% 2.685.106,84 11,24%
7,00 - 7,49 15 2,86% 690.554,89 2,89%
7,50 - 8,00 9 1,71% 420.979,00 1,76%
8,00 - 8,50 6 1,14% 237.168,99 0,99%,,,,
TOTALES 525 100,00% 23.880.670,21 100,00%,,,,
