Elab,,5
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA CAJAMAR 2
(División por Ratio Saldo Actual/Tasación),
,,
,RATIO SALDO
VENCIMIENTO VENCIMIENTO TIPO
ACTUAL/
SALDO INICIAL RESIDUAL ACTUAL
RATIO SALDO SALDO ACTUAL TASACION Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO PONDERADO
ACTUAL/TASACION EUROS PONDERADO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
POR SALDO
INICIAL (meses) ACTUAL (meses) ACTUAL
ACTUAL,
,0,00 - 10,00 82 1.626.311,11 0,15 188 169 3,33 8,19 2,56 5,50
10,00 - 20,00 443 14.173.454,71 1,33 187 169 3,24 16,15 2,56 5,50
20,00 - 30,00 737 35.116.098,47 3,29 199 185 3,12 25,65 2,56 4,50
30,00 - 40,00 1.005 60.463.539,69 5,66 232 218 3,09 35,47 2,56 6,50
40,00 - 50,00 1.235 92.092.737,78 8,62 257 244 3,11 45,31 2,50 6,50
50,00 - 60,00 1.716 148.377.249,60 13,89 278 265 3,08 55,42 2,30 5,75
60,00 - 70,00 2.077 198.870.568,32 18,61 292 279 3,10 65,40 2,56 5,75
70,00 - 80,00 4.582 470.791.138,20 44,06 316 305 3,06 76,39 2,50 5,50
80,00 - 90,00 271 29.853.483,82 2,79 322 310 3,07 84,26 2,56 4,50
90,00 - 100,00 150 17.233.371,02 1,61 321 306 3,08 95,37 2,66 5,75,
,TOTALES 12.298 1.068.597.952,72 100,00 291 279 3,08 64,40 2,30 6,50,
94,,
