Cartera de préstamos al día 05.11.2005
Clasificación por el plazo de amortización inicial del préstamo,,
Intervalos en meses,Préstamos
%,Principal pendiente
(euros) %
12,01 - 24,00,77 3,39,36.884.118,11 6,62
24,01 - 36,00,150 6,61,119.554.450,10 21,45
36,01 - 48,00,266 11,72,36.994.806,00 6,64
48,01 - 60,00,161 7,09,14.570.676,15 2,61
60,01 - 72,00,645 28,41,76.338.658,08 13,70
72,01 - 84,00,112 4,93,20.486.100,43 3,68
84,01 - 96,00,268 11,81,41.279.771,02 7,41
96,01 - 108,00,67 2,95,11.379.693,30 2,04
108,01 - 120,00,5 0,22,1.016.765,30 0,18
120,01 - 132,00,110 4,85,33.225.592,06 5,96
132,01 - 144,00,6 0,26,6.477.009,05 1,16
144,01 - 156,00,114 5,02,43.277.923,21 7,76
156,01 - 168,00,5 0,22,3.254.553,29 0,58
168,01 - 180,00,5 0,22,8.038.849,56 1,44
180,01 - 192,00,157 6,92,64.772.826,70 11,62
192,01 - 204,00,4 0,18,1.267.725,89 0,23
204,01 - 216,00,1 0,04,495.258,44 0,09
216,01 - 228,00,3 0,13,931.766,23 0,17
228,01 - 240,00,3 0,13,3.571.367,60 0,64
240,01 - 252,00,52 2,29,16.973.209,02 3,05
264,01 - 276,00,3 0,13,2.283.909,09 0,41
276,01 - 288,00,1 0,04,187.255,96 0,03
300,01 - 312,00,43 1,89,8.748.652,32 1,57
312,01 - 324,00,4 0,18,1.479.786,32 0,27
360,01 - 372,00,8 0,35,3.905.827,15 0,70
Total,2.270
100,00,557.396.550,38
100,00
,Media ponderada:
Media simple:
Mínimo:
Máximo:,93,14 Meses
85,20 Meses
12,01 Meses
361,41 Meses
