Cartera de préstamos al día 05.11.2005
Clasificación por Deudor,,
,Préstamos
%,Principal Pendiente
(euros) %
Deudor 1,2 0,088,8.444.665,22 1,515
Deudor 2,1 0,044,8.000.000,00 1,435
Deudor 3,1 0,044,7.677.491,24 1,377
Deudor 4,1 0,044,7.500.000,00 1,346
Deudor 5,1 0,044,6.214.000,00 1,115
Deudor 6,2 0,088,6.052.000,00 1,086
Deudor 7,1 0,044,6.000.000,00 1,076
Deudor 8,1 0,044,6.000.000,00 1,076
Deudor 9,1 0,044,5.800.000,00 1,041
Deudor 10,1 0,044,5.700.000,00 1,023
Resto: 1.976 deudores,2.258 99,471,490.008.393,920 87,910
Total 2.270 100,00 557.396.550,38 100,00,,
