Cartera de préstamos con hipoteca inmobiliaria con rango de primera al día 05.11.2005
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación,Préstamos
%,Principal pendiente
(euros) %,(%) Principal
pendiente/
V. Tasación *
0,01 - 5,00,1 0,16,232.544,75 0,07,3,52
5,01 - 10,00,4 0,63,648.310,10 0,20,7,55
10,01 - 15,00,4 0,63,589.010,24 0,18,14,54
15,01 - 20,00,6 0,95,6.200.930,89 1,94,16,27
20,01 - 25,00,18 2,86,5.206.748,74 1,63,23,33
25,01 - 30,00,23 3,65,10.004.169,50 3,12,28,04
30,01 - 35,00,20 3,17,9.194.328,70 2,87,31,39
35,01 - 40,00,20 3,17,5.595.664,59 1,75,37,32
40,01 - 45,00,30 4,76,14.029.038,99 4,38,41,84
45,01 - 50,00,51 8,10,27.810.469,80 8,68,48,29
