Cartera de préstamos al día 05.11.2005
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
9,00 - 9,49,1 0,04,64.765,49 0,01,9,00
9,50 - 9,99,163 7,18,78.736.933,97 14,13,9,75
10,00 - 10,49,1 0,04,11.569,98 0,00,10,25
10,50 - 10,99,1 0,04,477.274,25 0,09,10,50
11,00 - 11,49,2 0,09,4.143.361,53 0,74,11,00
11,50 - 11,99,108 4,76,36.237.403,00 6,50,11,74
19,50 - 19,99,1 0,04,576.150,36 0,10,19,60
Sin T.I.N. máximo aplicable,2.046 87,51,437.149.091,80 78,43,-
Total 2.270 100,00 557.396.550,38 100,00,,,
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,,,
