Elab,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 30
(División por saldo actual),
,,
,VENCIMIENTO VENCIMIENTO TIPO ACTUAL
SALDO INICIAL RESIDUAL PONDERADO SALDO ACTUAL
SALDO ACTUAL Min. TIPO Máx. TIPO
SALDO ACTUAL (euros) NUM ACTUAL PONDERADO PONDERADO POR SALDO MEDIO PONDERADO
(euros) ACTUAL (%) ACTUAL (%)
(%) POR SALDO POR SALDO ACTUAL (euros)
INICIAL (meses) ACTUAL (meses) (%),
,0,00 - 50.000,00 55 1.850.250,63 0,45 187,47 144,73 5,46 45.381,56 4,744 6,500
50.000,00 - 100.000,00 1.247 93.183.215,67 22,71 277,66 247,59 5,41 77.447,90 3,950 6,600
100.000,00 - 150.000,00 946 118.411.151,10 28,86 345,72 324,98 5,32 126.812,34 3,550 6,500
150.000,00 - 200.000,00 512 88.409.487,37 21,55 381,04 362,57 5,27 173.795,24 4,300 6,225
200.000,00 - 250.000,00 212 46.995.429,03 11,45 376,10 358,37 5,29 222.539,72 3,550 6,357
250.000,00 - 300.000,00 86 23.488.569,73 5,73 336,85 316,86 5,29 273.940,96 4,607 6,225
300.000,00 - 350.000,00 46 14.876.665,30 3,63 344,69 326,89 5,18 324.009,96 4,549 6,014
350.000,00 - 400.000,00 30 11.293.898,11 2,75 356,03 340,02 5,29 376.887,57 4,450 6,072
400.000,00 - 450.000,00 18 7.570.623,52 1,85 336,58 319,86 5,33 421.195,60 5,003 5,975
450.000,00 - 500.000,00 9 4.193.634,01 1,02 310,48 291,03 5,28 466.523,27 5,005 5,647,
,TOTALES 3.161 4 10.272.924,47 100 339,85 318,09 5,32 167.685,06 3,550 6,600,
60,,
