Elaborado con datos a 7/02/2008,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 30
(División por ratio saldo actual/valor de tasación),
,,
,VENCIMIENTO VENCIMIENTO SALDO ACTUAL / VALOR
TIPO ACTUAL
SALDO ACTUAL / VALOR INICIAL RESIDUAL DE TASACION
SALDO ACTUAL SALDO PONDERADO POR Min. TIPO Máx. TIPO
DE TASACION NUM PONDERADO PONDERADO PONDERADO POR
(euros) ACTUAL (%) SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) POR SALDO POR SALDO SALDO ACTUAL
(%)
INICIAL (meses) ACTUAL (meses) (%),
,0,00 - 10,00 31 1 .227.620,70 0,30 237,49 200,94 5,52 7,98 3,550 6,397
10,00 - 20,00 160 1 2.182.596,92 2,97 260,42 230,39 5,34 15,71 4,607 6,600
20,00 - 30,00 239 2 0.995.654,53 5,12 257,31 229,36 5,39 25,59 4,450 6,500
30,00 - 40,00 306 3 1.771.597,14 7,74 306,28 279,63 5,31 35,11 4,400 6,500
40,00 - 50,00 377 4 5.620.361,39 11,12 292,29 266,57 5,35 45,13 3,550 6,500
50,00 - 60,00 458 6 0.421.693,21 14,73 312,77 289,46 5,34 55,24 3,950 6,475
60,00 - 70,00 487 6 6.206.388,72 16,14 326,95 306,83 5,37 64,76 4,500 6,250
70,00 - 80,00 576 8 6.346.864,98 21,05 363,50 344,86 5,32 75,54 3,550 6,247
80,00 - 90,00 357 5 5.392.772,05 13,50 404,71 386,27 5,26 84,85 4,300 6,226
90,00 - 100,00 169 2 9.970.932,54 7,31 437,58 419,92 5,19 95,03 4,500 6,147
120,00 - 130,00 1 1 36.442,29 0,03 361,00 292,00 5,25 125,91 5,250 5,250,
,TOTALES 3.161 4 10.272.924,47 100 339,85 318,09 5,32 62,45 3,550 6,600,
68,,
