Elaborado con datos a 7/02/2008,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 30
(División por localización geográfica de la garantía),
,,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
SALDO INICIAL RESIDUAL
SALDO ACTUAL PONDERADO POR Min. TIPO Máx. TIPO
PROVINCIA NUM ACTUAL PONDERADO PONDERADO
(euros) SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(%) POR SALDO POR SALDO
(%)
INICIAL (meses) ACTUAL (meses),
,ALICANTE 7 2 11.573.417,46 2,82 346,70 328,26 5,33 4,500 6,107
ALMERIA 2 326.057,53 0,08 335,24 325,38 5,31 5,266 5,347
ASTURIAS 1 163.699,58 0,04 301,00 285,00 5,22 5,215 5,215
BALEARES 1 .511 196.440.769,78 47,88 350,71 328,70 5,28 3,550 6,600
BARCELONA 7 1.414.445,87 0,34 341,01 286,93 5,10 4,607 5,647
CADIZ 9 4 14.034.169,87 3,42 368,10 349,87 5,27 4,650 5,825
CANTABRIA 1 465.616,15 0,11 481,00 467,00 5,09 5,090 5,090
CORDOBA 1 77.714,09 0,02 145,00 130,00 5,25 5,247 5,247
GRANADA 2 312.688,97 0,08 317,21 306,53 5,53 5,397 5,607
GUADALAJARA 1 58.902,02 0,01 326,00 281,00 5,19 5,190 5,190
LAS PALMAS 8 68 104.889.421,76 25,57 329,41 307,50 5,38 3,550 6,500
LERIDA 2 295.990,04 0,07 121,00 109,85 5,11 5,000 5,266
MADRID 3 7 6.935.639,65 1,69 311,44 292,19 5,14 4,671 5,750
MALAGA 1 57 27.447.898,77 6,69 362,49 340,26 5,35 3,550 6,085
MURCIA 1 185.290,30 0,05 481,00 473,00 5,36 5,357 5,357
S. C. DE TENERIFE 3 97 44.455.637,91 10,84 296,72 274,87 5,40 3,950 6,500
SEVILLA 1 119.265,91 0,03 301,00 280,00 5,90 5,901 5,901
VALENCIA 6 1.076.298,81 0,26 326,61 310,33 5,05 4,700 5,475,
,TOTALES 3 .161 410.272.924,47 100 339,85 318,09 5,32 3,550 6,600,
64,,
