AyT Genova Hipotecario XII FTH
Distribución geográfica
Comunidad Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Deudor Préstamos préstamos Vivo Vivo Medio Medio ponder. Medio ponder. Media ponder.
Andalucia 1,065 21.20% 157,905,169.46 19.53% 148,267.76 57.29% 5.04% 313.30
Aragón 188 3.74% 25,746,481.12 3.18% 136,949.37 53.33% 5.04% 293.57
Asturias 54 1.07% 6,410,020.14 0.79% 118,704.08 51.61% 5.04% 298.58
Baleares 196 3.90% 32,989,207.53 4.08% 168,312.28 58.29% 5.00% 325.34
Canarias 376 7.48% 54,590,715.83 6.75% 145,188.07 61.18% 5.02% 314.37
Cantabria 74 1.47% 10,177,773.07 1.26% 137,537.47 56.11% 5.04% 322.79
Castilla La Mancha 187 3.72% 25,241,114.93 3.12% 134,979.22 58.11% 5.04% 313.72
Castilla León 180 3.58% 23,095,239.87 2.86% 128,306.89 60.81% 5.02% 313.95
Cataluña 696 13.85% 132,730,791.53 16.42% 190,705.16 55.08% 5.02% 313.73
Comunidad Valenciana 427 8.50% 63,543,000.15 7.86% 148,812.65 58.68% 5.01% 315.03
Extremadura 30 0.60% 3,687,924.67 0.46% 122,930.82 61.32% 5.06% 297.58
Galicia 241 4.80% 27,957,915.14 3.46% 116,007.95 56.50% 5.03% 287.98
La Rioja 17 0.34% 2,675,151.65 0.33% 157,361.86 57.31% 5.03% 301.07
Madrid 1,034 20.58% 201,856,945.65 24.97% 195,219.48 53.67% 5.02% 305.51
Murcia 95 1.89% 12,816,996.74 1.59% 134,915.76 59.79% 5.02% 304.73
Navarra 44 0.88% 6,404,435.62 0.79% 145,555.36 51.36% 5.04% 289.31
Pais vasco 120 2.39% 20,724,017.64 2.56% 172,700.15 53.92% 5.02% 319.81
Totales 5 ,024 100% 808,552,901 100% 160,938.08 56.27% 5.03% 310.38
