AyT Genova Hipotecario XII FTH
Distribución según concentración por deudor
Saldo Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Vivo Préstamos préstamos Vivo Vivo Medio Medio Ponder Medio ponder. Media ponder.

Deudor 1 1 0.02% 1,209,898.80 0.15% 1,209,898.80 76% 5.00% 359.07
Deudor 2 1 0.02% 1,200,000.00 0.15% 1,200,000.00 65% 4.82% 353.27
Deudor 3 1 0.02% 1,118,000.00 0.14% 1,118,000.00 80% 5.21% 352.57
Deudor 4 1 0.02% 1,089,483.92 0.13% 1,089,483.92 75% 5.11% 357.00
Deudor 5 1 0.02% 1,075,549.58 0.13% 1,075,549.58 43% 5.24% 336.53
Deudor 6 1 0.02% 1,029,630.47 0.13% 1,029,630.47 79% 5.04% 345.90
Deudor 7 1 0.02% 993,625.03 0.12% 993,625.03 62% 5.10% 220.20
Deudor 8 1 0.02% 950,000.00 0.12% 950,000.00 58% 4.95% 349.67
Deudor 9 1 0.02% 940,556.73 0.12% 940,556.73 79% 4.76% 353.50
Deudor 10 1 0.02% 888,829.41 0.11% 888,829.41 58% 4.76% 199.30

Totales 10 0.20% 10,495,573.94 1.30% 1,049,557.39 67.84% 5.00% 325.87

