AyT Genova Hipotecario XII FTH
Distribución por Vida Residual
Vida Residual Número de % sobre el total Saldo % Saldo Saldo LTV Tipo de Interés Vida Residual
Meses Préstamos préstamos Vivo Vivo medio Medio ponder medio ponderado Media ponderada

de 10 a 30 43 0.86% 683,665.15 0.08% 15,899.19 8.14% 5.05% 24.72
de 31 a 50 53 1.05% 1,948,570.15 0.24% 36,765.47 31.72% 5.05% 41.38
de 51 a 70 52 1.04% 1,800,349.92 0.22% 34,622.11 16.79% 5.01% 62.50
de 71 a 90 69 1.37% 3,137,830.84 0.39% 45,475.81 24.28% 5.06% 82.31
de 91 a 110 79 1.57% 5,041,340.55 0.62% 63,814.44 27.21% 5.01% 102.66
de 111 a 130 92 1.83% 7,422,475.91 0.92% 80,679.09 34.37% 5.02% 121.40
de 131 a 150 104 2.07% 9,452,311.23 1.17% 90,887.61 37.03% 5.08% 139.53
de 151 a 170 112 2.23% 10,779,172.38 1.33% 96,242.61 36.52% 5.06% 162.83
de 171 a 190 167 3.32% 18,021,507.10 2.23% 107,913.22 43.27% 5.05% 179.94
de 191 a 210 164 3.26% 18,264,727.92 2.26% 111,370.29 41.86% 5.04% 199.26
de 211 a 230 194 3.86% 24,306,379.58 3.01% 125,290.62 47.82% 5.05% 221.67
de 231 a 250 256 5.10% 34,492,256.25 4.27% 134,735.38 48.31% 5.01% 237.56
de 251 a 270 187 3.72% 26,922,895.78 3.33% 143,972.70 53.62% 5.02% 261.55
de 271 a 290 216 4.30% 31,067,687.67 3.84% 143,831.89 51.71% 5.03% 281.74
de 291 a 310 384 7.64% 63,501,072.40 7.85% 165,367.38 54.16% 5.02% 297.71
de 311 a 330 438 8.72% 79,659,455.94 9.85% 181,870.90 57.24% 5.04% 321.65
de 331 a 350 989 19.69% 195,694,083.50 24.20% 197,870.66 59.85% 5.04% 342.51
Más de 351 1,425 28.36% 276,357,118.47 34.18% 193,934.82 61.72% 5.01% 355.30

Totales 5 ,024 100% 808,552,900.74 100% 160,938.08 56.27% 5.03% 310.38

