,FECHA,,,EURIBOR 3 meses,,,Serie A1,,,Serie A2,,,Serie B,,,Serie C,,,Serie D,,,Serie E,
,07/11/2006,,,3,575%,,,3,625%,,,3,735%,,,3,795%,,,3,905%,,,4,275%,,,5,575%,
,06/11/2006,,,3,569%,,,3,619%,,,3,729%,,,3,789%,,,3,899%,,,4,269%,,,5,569%,
,03/11/2006,,,3,566%,,,3,616%,,,3,726%,,,3,786%,,,3,896%,,,4,266%,,,5,566%,
,02/11/2006,,,3,566%,,,3,616%,,,3,726%,,,3,786%,,,3,896%,,,4,266%,,,5,566%,
,01/11/2006,,,3,563%,,,3,613%,,,3,723%,,,3,783%,,,3,893%,,,4,263%,,,5,563%,
,31/10/2006,,,3,564%,,,3,614%,,,3,724%,,,3,784%,,,3,894%,,,4,264%,,,5,564%,
,30/10/2006,,,3,561%,,,3,611%,,,3,721%,,,3,781%,,,3,891%,,,4,261%,,,5,561%,
,27/10/2006,,,3,554%,,,3,604%,,,3,714%,,,3,774%,,,3,884%,,,4,254%,,,5,554%,
,26/10/2007,,,3,548%,,,3,598%,,,3,708%,,,3,768%,,,3,878%,,,4,248%,,,5,548%,
,25/10/2006,,,3,538%,,,3,588%,,,3,698%,,,3,758%,,,3,868%,,,4,238%,,,5,538%,
,24/10/2006,,,3,528%,,,3,578%,,,3,688%,,,3,748%,,,3,858%,,,4,228%,,,5,528%,
,23/10/2006,,,3,526%,,,3,576%,,,3,686%,,,3,746%,,,3,856%,,,4,226%,,,5,526%,
,20/10/2006,,,3,521%,,,3,571%,,,3,681%,,,3,741%,,,3,851%,,,4,221%,,,5,521%,
,19/10/2006,,,3,519%,,,3,569%,,,3,679%,,,3,739%,,,3,849%,,,4,219%,,,5,519%,
,18/10/2006,,,3,511%,,,3,561%,,,3,671%,,,3,731%,,,3,841%,,,4,211%,,,5,511%,
,17/10/2006,,,3,503%,,,3,553%,,,3,663%,,,3,723%,,,3,833%,,,4,203%,,,5,503%,
,16/10/2006,,,3,502%,,,3,552%,,,3,662%,,,3,722%,,,3,832%,,,4,202%,,,5,502%,
,13/10/2006,,,3,499%,,,3,549%,,,3,659%,,,3,719%,,,3,829%,,,4,199%,,,5,499%,
,12/10/2006,,,3,494%,,,3,544%,,,3,654%,,,3,714%,,,3,824%,,,4,194%,,,5,494%,
,11/10/2006,,,3,487%,,,3,537%,,,3,647%,,,3,707%,,,3,817%,,,4,187%,,,5,487%,
,10/10/2006,,,3,479%,,,3,529%,,,3,639%,,,3,699%,,,3,809%,,,4,179%,,,5,479%,
,09/10/2006,,,3,470%,,,3,520%,,,3,630%,,,3,690%,,,3,800%,,,4,170%,,,5,470%,
,06/10/2006,,,3,464%,,,3,514%,,,3,624%,,,3,684%,,,3,794%,,,4,164%,,,5,464%,
