T,,DA 19-MIXTO, FONDO DE TITULIZACION DE ACTIVOS,,,,,,,,,,,,
,Variaciones en las hipótesis asumidas para el cuadro del Servicio Financiero del Fondo,,,,,,,,,,,,,
,,,,,EURIBOR 2,080%,,,,,,,,,
,,,Escenario,,,,5% TAA,,,,10% TAA,,15% TAA,
,,Vida media (años),,,,8,36,,,,5,95,,,4,43,
Bono A,,,,,,,,,,,,,,
,,TIR,,,,2,363%,,,,2,363%,,,2,363%,
,,,,,,,,,,,,,,
,,Vida media (años),,,,13,74,,,,10,04,,,7,64,
Bono B,,,,,,,,,,,,,,
,,TIR,,,,2,745%,,,,2,745%,,,2,745%,
,,,,,,,,,,,,,,
,,Vida media (años),,,,13,74,,,,10,04,,,7,64,
Bono C,,,,,,,,,,,,,,
,,TIR,,,,3,264%,,,,3,264%,,,3,264%,
,,,,,,,,,,,,,,
,,Vida media (años),,,,13,74,,,,10,04,,,7,64,
Bono D,,,,,,,,,,,,,,
,,TIR,,,,5,779%,,,,5,779%,,,5,779%,
,,,,,,,,,,,,,,
Fecha de Liquidación,,,,,,,,,,,,,,
,,,,,,22/06/2022,,,,24/09/2018,,,23/03/2015,
Anticipada del Fondo,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
