Mortgage loan portfolio as of 31.03.2005
Classification by outstanding principal,,
Outstanding principal interval
(in EUR),Loans
No. %,Outstanding Principal
(EUR) %
0.00 - 19,999.99,310 2.03,3,626,261.48 0.21
20,000.00 - 39,999.99,732 4.80,22,848,216.06 1.31
40,000.00 - 59,999.99,1,452 9.52,74,504,361.74 4.26
60,000.00 - 79,999.99,2,186 14.33,155,024,367.72 8.87
80,000.00 - 99,999.99,2,605 17.07,234,653,566.46 13.42
100,000.00 - 119,999.99,2,214 14.51,243,197,434.87 13.91
120,000.00 - 139,999.99,1,580 10.35,204,837,125.59 11.72
140,000.00 - 159,999.99,1,381 9.05,206,406,598.51 11.80
160,000.00 - 179,999.99,980 6.42,166,399,758.77 9.52
180,000.00 - 199,999.99,665 4.36,125,961,793.81 7.20
200,000.00 - 219,999.99,389 2.55,81,259,378.47 4.65
220,000.00 - 239,999.99,226 1.48,51,987,834.29 2.97
