Mortgage loan portfolio as of 31.03.2005
Classification by Final Maturity Date,,,
Final Maturity Year,Loans
%,Outstanding Principal
(EUR) %,Residual Life*
Months Date
2005,2 0.01,11,289.71 0.00,5.08 2/09/2005
2006,20 0.13,115,773.65 0.01,13.19 7/05/2006
2007,18 0.12,241,332.15 0.01,25.47 15/05/2007
2008,11 0.07,357,279.00 0.02,36.66 20/04/2008
2009,23 0.15,398,530.41 0.02,52.56 17/08/2009
2010,15 0.10,669,303.39 0.04,63.44 14/07/2010
2011,27 0.18,857,138.16 0.05,75.63 20/07/2011
2012,26 0.17,1,065,174.23 0.06,88.39 11/08/2012
2013,25 0.16,1,576,335.99 0.09,100.42 13/08/2013
2014,174 1.14,10,573,594.42 0.60,110.89 27/06/2014
2015,14 0.09,1,308,245.62 0.07,121.47 15/05/2015
2016,63 0.41,5,081,408.63 0.29,135.51 16/07/2016
2017,21 0.14,1,178,584.07 0.07,146.24 7/06/2017
2018,66 0.43,5,938,729.08 0.34,160.93 28/08/2018
2019,545 3.57,47,551,696.72 2.72,170.65 20/06/2019
2020,24 0.16,1,759,363.82 0.10,182.87 26/06/2020
2021,60 0.39,4,588,672.66 0.26,194.91 28/06/2021
2022,67 0.44,6,018,795.03 0.34,207.57 18/07/2022
2023,184 1.21,19,245,059.72 1.10,220.34 11/08/2023
2024,2,145 14.06,202,690,431.33 11.59,230.50 15/06/2024
2025,59 0.39,8,523,320.05 0.49,243.66 21/07/2025
2026,80 0.52,8,761,709.01 0.50,255.24 8/07/2026
2027,103 0.68,11,963,659.47 0.68,266.70 22/06/2027
2028,306 2.01,36,993,072.80 2.12,281.45 13/09/2028
2029,2,566 16.82,276,339,952.52 15.80,290.35 10/06/2029
2030,64 0.42,7,548,280.62 0.43,302.72 22/06/2030
2031,88 0.58,11,014,390.09 0.63,314.58 18/06/2031
2032,148 0.97,19,250,140.36 1.10,327.08 2/07/2032
2033,723 4.74,96,429,691.41 5.52,341.49 14/09/2033
2034,7,592 49.75,960,417,489.51 54.93,350.68 21/06/2034
Total 15,259 100.00 1,748,468,443.63 100.00,,,
Weighted average: 23/03/2031
Simple Average: 01/06/2030
Minimum: 4.04 01/08/2005
Maximum: 354.69 21/10/2034
*Residual life (months and date) are averages weighted by the outstanding principal.,,,
