,Fondo de Titulización,,,Fecha,,,Emisión,,,Saldo a,,,Saldo a,,,Saldo a,
,(en miles de euros),,,Constitución,,,Bonos Inicial,,,30/09/2006,,,31/12/2005,,,31/12/2004,
FONCAIXA HIPOTECARIO 1, FTH (*),,,14/07/1999,,,600.000,,,108.029,,,135.411,,,180.285,,
FONCAIXA HIPOTECARIO 2, FTH (*),,,22/02/2001,,,600.000,,,211.512,,,248.454,,,303.594.,,
FONCAIXA HIPOTECARIO 3, FTH (*),,,06/07/2001,,,1.500.000,,,749.906,,,840.381,,,970.689,,
FONCAIXA HIPOTECARIO 4, FTH (*),,,13/12/2001,,,600.000,,,298.047,,,334.908,,,386.486,,
FONCAIXA HIPOTECARIO 5, FTH (*),,,15/10/2002,,,600.000,,,369.551,,,410.906,,,470.311,,
FONCAIXA HIPOTECARIO 6, FTH (*),,,17/12/2002,,,600.000,,,374.283,,,417.062,,,474.498,,
FONCAIXA HIPOTECARIO 7, FTH (*),,,26/09/2003,,,1.250.000,,,895.197,,,984.100,,,1.106.912,,
FONCAIXA HIPOTECARIO 8, FTH (*),,,15/03/2005,,,1.000.000,,,841.988,,,918.299,,,---------------,,
GC SABADELL 1, FTH,,,12 /07/2004,,,1.200.000,,,852.188,,,1.050.000,,,1.200.000,,
GC FTGENCAT II, FTA (*),,,28 /03/2003,,,950.000,,,346.725,,,467.414,,,634.270,,
GC FTPYME PASTOR 1, FTA,,,28/10/2003,,,225.000,,,89.403,,,121.472,,,172.005,,
GC FTPYME PASTOR 2, FTA,,,28/10/2004,,,800.000,,,425.762,,,559.940,,,800.000,,
FONCAIXA FTPYME 1, FTA (*),,,27/11/2003,,,600.000,,,415.000,,,415.000,,,600.000,,
GS COMPASS SPAIN 1, FTA,,,10/12/2004,,,150.000,,,48.807,,,110.024,,,147.462,,
FONCAIXA FTGENCAT 4, FTA (*),,,14/07/2006,,,606.000,,,606.000,,,---------------,,,--------------,,
