Distribución Geográfica (por Comunidad Autónoma)
Número de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
Provincias
Prestamos préstamos Vivo total Medio ponderado medio ponderado Media ponderada

Alava 6 5 0,69% 8.524.160,28 0,64% 90,94% 3,23% 319,5
Alicante 8 6 0,91% 9.769.817,21 0,74% 85,66% 3,18% 310,0
Almería 3 0,03% 394.517,96 0,03% 91,24% 3,38% 342,8
Asturias 5 0,05% 563.653,44 0,04% 89,58% 3,27% 303,9
Avila 4 0,04% 458.526,22 0,03% 85,61% 3,05% 245,5
Baleares 2 0,02% 258.304,21 0,02% 90,35% 3,27% 346,6
Barcelona 4 1 0,43% 4.903.427,28 0,37% 83,78% 3,22% 307,5
Burgos 9 6 1,01% 15.210.352,14 1,15% 89,81% 3,21% 338,8
Cádiz 1 0,01% 25.736,63 0,00% 77,86% 3,75% 228,7
Cantabria 7 97 8,40% 109.899.457,78 8,31% 88,73% 3,25% 323,6
Castellón 7 0,07% 854.694,48 0,06% 85,25% 3,08% 332,1
Ciudad Real 2 1 0,22% 3.733.829,15 0,28% 94,21% 3,06% 347,0
Cuenca 2 0,02% 258.864,07 0,02% 83,84% 2,99% 349,7
Girona 4 0,04% 444.267,35 0,03% 66,19% 3,20% 321,7
Guadalajara 6 0 0,63% 7.764.131,70 0,59% 88,21% 3,17% 329,3
Guipúzcoa 2 6 0,27% 4.850.714,21 0,37% 89,86% 3,04% 343,7
Huesca 7 0,07% 652.817,39 0,05% 87,68% 3,58% 290,1
Jaén 1 0,01% 112.659,40 0,01% 91,44% 3,25% 305,0
La Rioja 1 16 1,22% 18.039.676,14 1,36% 88,15% 3,15% 319,9
Las Palmas 1 0,01% 400.000,00 0,03% 80,56% 3,18% 350,9
Madrid 1 .975 20,82% 282.416.982,73 21,36% 88,78% 3,19% 329,4
Málaga 6 0 0,63% 7.536.239,86 0,57% 89,33% 3,21% 332,5
Murcia 2 0,02% 285.408,26 0,02% 82,94% 3,50% 348,0
Navarra 4 0,04% 578.410,53 0,04% 84,12% 2,84% 325,7
Palencia 2 0,02% 122.678,40 0,01% 78,00% 3,82% 201,3
Salamanca 1 0,01% 75.434,43 0,01% 83,67% 3,25% 222,2
Segovia 1 0 0,11% 1.085.651,09 0,08% 81,72% 3,31% 314,4
Sevilla 3 0,03% 429.312,87 0,03% 92,95% 3,25% 335,2
Tarragona 1 0 0,11% 1.513.858,07 0,11% 92,75% 3,16% 310,7
Tenerife 1 0,01% 142.615,36 0,01% 87,24% 3,12% 305,7
Toledo 1 13 1,19% 15.251.162,20 1,15% 89,11% 3,28% 326,9
Valencia 1 66 1,75% 26.417.327,82 2,00% 89,86% 3,12% 328,4
Valladolid 1 0,01% 162.284,42 0,01% 82,09% 3,63% 345,9
Vizcaya 5 .608 59,12% 769.475.052,96 58,20% 88,67% 3,20% 325,1
Zaragoza 1 84 1,94% 29.522.419,48 2,23% 89,25% 3,22% 333,3

Totales 9 .485 100,00% 1.322.134.445,52 100,00% 88,72% 3,20% 326,16
