Distribución por Antigüedad
Antigüedad Número de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Antigüedad Vida Residual
(meses) Prestamos préstamos Vivo total Medio ponderado medio ponderado Media ponder. Media ponderada

Menos de 6 4 98 5,25% 99.130.407,86 7,50% 92,68% 3,20% 5,1 365,1
entre 150Y 169 1 .923 20,27% 364.027.214,21 27,53% 90,85% 3,08% 9,0 348,3
entre 170 y 189 1 .570 16,55% 273.340.643,05 20,67% 90,96% 3,17% 14,6 340,8
entre 190 y 209 6 07 6,40% 95.811.092,78 7,25% 89,41% 3,15% 20,9 332,0
entre 210 y 229 5 34 5,63% 81.706.871,69 6,18% 88,18% 3,21% 27,2 325,5
entre 230 y 249 5 09 5,37% 69.820.940,29 5,28% 86,97% 3,14% 32,9 317,5
entre 250 y 269 4 39 4,63% 55.632.910,62 4,21% 85,81% 3,28% 38,9 313,1
entre 290 y 309 4 26 4,49% 46.733.306,38 3,53% 85,55% 3,35% 45,1 305,7
más de 310 2 .979 31,41% 235.931.058,64 17,84% 82,92% 3,39% 70,3 266,3

Totales 9 .485 100,00% 1.322.134.445,52 100,00% 88,72% 3,20% 26,58 326,16
