Distribución por LTV
Número de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
LTV
Prestamos préstamos Vivo total Medio ponderado medio ponderado Media ponderada

menor 10.00% 2 0,02% 23.238,01 0,00% 6,25% 2,76% 228,0
10.01% a 20.00% 5 0,05% 194.839,44 0,01% 15,54% 3,16% 190,8
20.01% a 30.00% 5 0,05% 332.145,50 0,03% 27,63% 3,08% 264,2
30.01% a 40.00% 8 0,08% 1.126.865,82 0,09% 35,45% 3,18% 294,9
40.01% a 50.00% 7 0,07% 1.165.145,40 0,09% 46,13% 3,17% 316,8
50.01% a 60.00% 1 4 0,15% 2.031.724,20 0,15% 54,52% 3,19% 307,9
60.01% a 70.00% 4 7 0,50% 5.108.728,13 0,39% 67,24% 3,19% 276,6
70.01% a 80.00% 1 .900 20,03% 232.188.931,77 17,56% 78,07% 3,20% 306,8
80.01% a 90.00% 3 .653 38,51% 436.335.499,68 33,00% 84,62% 3,23% 312,6
90.01% a 100.00% 3 .844 40,53% 643.627.327,57 48,68% 95,85% 3,18% 342,9

Totales 9 .485 100,00% 1.322.134.445,52 100,00% 88,72% 3,20% 326,16
