Distribución por Vto Final
Año Número de % sobre el total Saldo % sobre Balance LTV Tipo de Interés Vida Residual
Vencimiento Prestamos préstamos Vivo total Medio ponderado medio ponderado Media ponderada

1-Ene-2009 a 31-Dic-2009 1 0,01% 314.600,00 0,02% 91,29% 2,75% 41,7
1-Ene-2010 a 31-Dic-2010 - 0,00% 0,00 0,00% 0,00% 0,00% 0,0
1-Ene-2011 a 31-Dic-2011 1 0,01% 37.400,00 0,00% 18,42% 3,50% 59,4
1-Ene-2012 a 31-Dic-2012 - 0,00% 0,00 0,00% 0,00% 0,00% 0,0
1-Ene-2013 a 31-Dic-2013 - 0,00% 0,00 0,00% 0,00% 0,00% 0,0
1-Ene-2014 a 31-Dic-2014 5 0,05% 249.364,68 0,02% 76,08% 3,29% 99,2
1-Ene-2015 a 31-Dic-2015 3 0,03% 164.940,73 0,01% 64,46% 3,04% 112,1
1-Ene-2016 a 31-Dic-2016 5 0,05% 252.378,37 0,02% 85,49% 3,35% 125,3
1-Ene-2017 a 31-Dic-2017 1 0 0,11% 810.719,62 0,06% 77,60% 3,03% 135,3
1-Ene-2018 a 31-Dic-2018 1 1 0,12% 947.564,83 0,07% 81,76% 3,03% 146,4
1-Ene-2019 a 31-Dic-2019 3 5 0,37% 2.170.512,28 0,16% 80,83% 3,23% 159,7
1-Ene-2020 a 31-Dic-2020 6 9 0,73% 5.912.458,69 0,45% 79,27% 3,35% 170,3
1-Ene-2021 a 31-Dic-2021 4 5 0,47% 2.922.696,80 0,22% 80,22% 3,39% 182,7
1-Ene-2022 a 31-Dic-2022 6 2 0,65% 4.158.751,42 0,31% 80,45% 3,44% 196,2
1-Ene-2023 a 31-Dic-2023 3 68 3,88% 23.216.439,01 1,76% 79,63% 3,37% 207,4
1-Ene-2024 a 31-Dic-2024 4 41 4,65% 30.120.887,38 2,28% 81,98% 3,36% 218,4
1-Ene-2025 a 31-Dic-2025 2 84 2,99% 26.388.318,69 2,00% 83,84% 3,29% 230,4
1-Ene-2026 a 31-Dic-2026 1 44 1,52% 12.774.421,69 0,97% 79,86% 3,30% 242,3
1-Ene-2027 a 31-Dic-2027 1 28 1,35% 12.361.606,57 0,93% 81,48% 3,31% 254,5
1-Ene-2028 a 31-Dic-2028 2 51 2,65% 23.384.898,28 1,77% 82,89% 3,28% 267,0
1-Ene-2029 a 31-Dic-2029 4 43 4,67% 39.563.465,36 2,99% 85,12% 3,28% 279,0
1-Ene-2030 a 31-Dic-2030 4 97 5,24% 55.267.452,31 4,18% 84,60% 3,29% 290,4
1-Ene-2031 a 31-Dic-2031 5 23 5,51% 51.335.765,26 3,88% 84,66% 3,36% 302,4
1-Ene-2032 a 31-Dic-2032 7 42 7,82% 83.207.091,42 6,29% 85,57% 3,32% 314,4
1-Ene-2033 a 31-Dic-2033 9 25 9,75% 129.678.341,53 9,81% 87,44% 3,20% 327,0
1-Ene-2034 a 31-Dic-2034 1 .138 12,00% 186.985.877,59 14,14% 90,05% 3,16% 339,4
1-Ene-2035 a 31-Dic-2035 3 .062 32,28% 570.204.007,35 43,13% 91,38% 3,14% 350,1
1-Ene-2036 a 31-Dic-2036 6 2 0,65% 12.136.701,11 0,92% 91,64% 3,37% 356,7
1-Ene-2037 a 31-Dic-2037 3 0,03% 582.358,54 0,04% 86,80% 2,91% 375,2
1-Ene-2038 a 31-Dic-2038 2 0,02% 434.940,04 0,03% 87,54% 3,16% 386,1
1-Ene-2039 a 31-Dic-2039 5 0,05% 915.654,84 0,07% 94,09% 3,04% 399,1
1-Ene-2040 a 31-Dic-2040 2 18 2,30% 45.343.424,92 3,43% 94,10% 3,18% 413,7
1-Ene-2041 a 31-Dic-2041 2 0,02% 291.406,21 0,02% 86,31% 3,64% 418,4

Totales 9 .485 100,00% 1.322.134.445,52 100,00% 88,72% 3,20% 326,16
