,ÓRGANO,,,CUANTÍA MÁXIMA,
Sucursal tipo A,,,Hasta un máximo de 200.000 €,,
Sucursal tipo B,,,Hasta un máximo de 100.000 €,,
Sucursal tipo C,,,Hasta un máximo de 50.000 €,,
Sucursal tipo D,,,Hasta un máximo de 25.000 €,,
Sucursal tipo E,,,Sin atribuciones,,
Director de DRT,,,Hasta un máximo de 400.000 €,,
Analista de DRT (mancomunada con oficina),,,Hasta un máximo de 300.000 €,,
Comité Riesgos Territoriales,,,Hasta un máximo de 750.000 €,,
Comité Central Riesgos,,,Hasta un máximo de 2.000.000 €,,
Comisión Ejecutiva/Consejo Rector,,,Resto,,
