Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
12,00 12,99,2.459 31,23,230.358.358,94 38,32,12,00
13,00 13,99,1 0,01,15.895,58 0,00,13,00
14,00 14,99,10 0,13,288.779,20 0,05,14,02
15,00 15,99,4.244 53,91,289.840.182,29 48,21,15,00
16,00 16,99,3 0,04,100.768,69 0,02,16,00
17,00 17,99,430 5,46,27.221.145,72 4,53,17,00
18,00 18,99,2 0,03,40.171,48 0,01,18,00
19,00 19,99,4 0,05,166.753,34 0,03,19,00
22,00 22,99,26 0,33,618.453,69 0,10,22,00
29,00 29,99,451 5,73,32.303.312,00 5,37,29,00
30,00 30,99,122 1,55,7.352.109,09 1,22,30,00
Sin TIN máximo,121 1,54,12.865,752,72 2,14,
Total 7.873 100,00 601.171.682,74 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
