Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por principal pendiente,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %
0,00 24.999,99,894 11,36,16.635.334,82 2,77
25.000,00 49.999,99,1.903 24,17,71.282.606,32 11,86
50.000,00 74.999,99,1.613 20,49,99.941.679,30 16,62
75.000,00 99.999,99,1.396 17,73,121.118.555,79 20,15
100.000,00 124.999,99,940 11,94,104.853.074,17 17,44
125.000,00 149.999,99,528 6,71,71.891.950,57 11,96
150.000,00 174.999,99,261 3,32,41.867.936,09 6,96
175.000,00 199.999,99,156 1,98,29.121.294,59 4,84
200.000,00 224.999,99,82 1,04,17.435.780,96 2,90
225.000,00 249.999,99,35 0,44,8.266.791,01 1,38
250.000,00 274.999,99,31 0,39,8.108.002,61 1,35
275.000,00 299.999,99,15 0,19,4.293.944,70 0,71
300.000,00 324.999,99,10 0,13,3.089.235,50 0,51
325.000,00 349.999,99,3 0,04,1.005.303,42 0,17
350.000,00 374.999,99,4 0,05,1.453.058,64 0,24
