Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por el tipo de interés nominal aplicable,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés
0,7500 - 0,9999,62 0,79,6.976.421,38 1,16,0,95
1,0000 - 1,2499,646 8,21,61.745.202,05 10,27,1,10
1,2500 - 1,4999,262 3,33,21.999.665,43 3,66,1,34
1,5000 - 1,7499,70 0,89,5.752.645,25 0,96,1,64
1,7500 - 1,9999,53 0,67,4.222.647,59 0,70,1,85
2,0000 - 2,2499,222 2,82,21.310.140,35 3,54,2,01
2,2500 - 2,4999,73 0,93,6.391.170,11 1,06,2,27
2,5000 - 2,7499,439 5,58,43.076.844,99 7,17,2,51
2,7500 - 2,9999,567 7,20,55.880.372,84 9,30,2,81
3,0000 - 3,2499,2.374 30,15,159.932.745,60 26,60,3,00
3,2500 - 3,4999,273 3,47,21.030.035,98 3,50,3,26
3,5000 - 3,7499,1.170 14,86,88.487.668,45 14,72,3,50
3,7500 - 3,9999,383 4,86,28.030.823,59 4,66,3,76
4,0000 - 4,2499,867 11,01,47.750.953,23 7,94,4,00
4,2500 - 4,4999,304 3,86,22.732.100,63 3,78,4,25
4,5000 - 4,7499,62 0,79,3.778.650,91 0,63,4,50
4,7500 - 4,9999,25 0,32,1.299.960,57 0,22,4,75
5,0000 - 5,2499,14 0,18,562.618,52 0,09,5,00
