Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01.07.2001 a 31.12.2001,159 2,02,5.193.433,55 0,86
01.01.2002 a 30.06.2002,142 1,80,4.882.279,88 0,81
01.07.2002 a 31.12.2002,130 1,65,4.856.022,42 0,81
01.01.2003 a 30.06.2003,152 1,93,6.038.388,82 1,00
01.07.2003 a 31.12.2003,140 1,78,5.708.718,62 0,95
01.01.2004 a 30.06.2004,143 1,82,5.927.491,31 0,99
01.07.2004 a 31.12.2004,210 2,67,10.258.233,85 1,71
01.01.2005 a 30.06.2005,192 2,44,10.160.256,42 1,69
01.07.2005 a 31.12.2005,335 4,26,19.155.932,89 3,19
01.01.2006 a 30.06.2006,306 3,89,18.792.543,94 3,13
01.07.2006 a 31.12.2006,290 3,68,19.710.658,55 3,28
01.01.2007 a 30.06.2007,433 5,50,31.962.327,26 5,32
01.07.2007 a 31.12.2007,404 5,13,32.381.127,40 5,39
01.01.2008 a 30.06.2008,670 8,51,56.785.657,37 9,45
01.07.2008 a 31.12.2008,536 6,81,42.889.985,88 7,13
01.01.2009 a 30.06.2009,542 6,88,46.119.458,03 7,67
01.07.2009 a 31.12.2009,621 7,89,56.014.514,33 9,32
01.01.2010 a 30.06.2010,719 9,13,70.709.700,77 11,76
01.07.2010 a 31.12.2010,733 9,31,73.185.537,24 12,17
01.01.2011 a 30.06.2011,332 4,22,32.064.039,54 5,33
01.07.2011 a 31.12.2011,281 3,57,27.980.817,24 4,65
01.01.2012 a 30.06.2012,142 1,80,12.557.029,30 2,09
Total 7.873 100,00 601.171.682,74 100,00,,
57,08 Meses Antigüedad media po nd erada
23.03.1994 230,86 Meses Antigüedad máxima
03.05.2012 13,35 Meses Antigüedad mínima,,
