Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por Deudor,,
,Préstamos
hipotecarios
%,Principal pendiente
(euros) %
Deudor 1,2 0,025,447.087,43 0,074
Deudor 2,1 0,013,411.577,55 0,068
Deudor 3,1 0,013,395.556,70 0,066
Deudor 4,1 0,013,371.288,15 0,062
Deudor 5,1 0,013,368.498,50 0,061
Deudor 6,1 0,013,358.841,18 0,060
Deudor 7,1 0,013,354.430,81 0,059
Deudor 8,1 0,013,338.084,65 0,056
Deudor 9,1 0,013,333.724,97 0,056
Deudor 10,1 0,013,333.493,80 0,055
Total 10 primeros deudores,11 0,140,3.712.583,74 0,618
Total deudores: 7.835 7.873 100,00 601.171.682,74 100,00,,
