Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por tipos de interés nominales mínimos aplicables,,,
Intervalo % Tipo Interés
mínimo,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Tipo*
interés mín.
0,00 - 0,99,1 0,01,36.214,54 0,01,0,500
1,00 - 1,99,4 0,05,538.572,96 0,09,1,721
2,00 - 2,99,1.246 15,83,123.668.876,69 20,57,2,557
3,00 - 3,99,4.196 53,30,297.393.809,67 49,47,3,240
4,00 - 4,99,1.249 15,86,75.114.786,55 12,49,4,113
5,00 - 5,99,17 0,22,621.917,04 0,10,5,063
6,00 - 6,99,3 0,04,121.061,93 0,02,6,239
Sin TIN mínimo,1.157 14,70,103.676.443,36 17,25,
Total 7.873 100,00 601.171.682,74 100,00,,,
*Tipo de interé s n ominal medio d e l intervalo ponderado por el principal pendiente.,,,
