AyT Genova Hipotecario XI FTH
Distribución por Vida Residual
Vida Residual Número de % sobre el total Saldo % Saldo Saldo LTV Tipo de Interés Vida Residual
Meses Préstamos préstamos Vivo Vivo medio Medio ponder medio ponderado Media ponderada
de 31 a 50 5 0,07% 296.804,96 0,02% 59.360,99 20,90% 4,54% 46,94
de 51 a 70 23 0,30% 1.365.887,99 0,10% 59.386,43 23,81% 4,70% 64,32
de 71 a 90 69 0,91% 4.945.047,57 0,38% 71.667,36 31,36% 4,58% 82,49
de 91 a 110 75 0,99% 6.024.692,69 0,46% 80.329,24 27,13% 4,61% 103,01
de 111 a 130 113 1,49% 11.865.243,06 0,91% 105.002,15 33,89% 4,57% 119,58
de 131 a 150 106 1,40% 10.201.929,59 0,78% 96.244,62 38,76% 4,60% 140,95
de 151 a 170 124 1,63% 13.457.118,41 1,03% 108.525,15 39,98% 4,70% 162,13
de 171 a 190 262 3,45% 29.250.618,11 2,25% 111.643,58 42,73% 4,54% 177,96
de 191 a 210 233 3,07% 29.118.134,01 2,23% 124.970,53 45,96% 4,59% 202,08
de 211 a 230 232 3,06% 29.829.603,47 2,29% 128.575,88 45,66% 4,65% 220,53
de 231 a 250 468 6,17% 65.562.902,92 5,03% 140.091,67 49,07% 4,51% 236,96
de 251 a 270 270 3,56% 38.480.950,68 2,95% 142.522,04 51,11% 4,63% 262,06
de 271 a 290 248 3,27% 39.232.801,21 3,01% 158.196,78 53,32% 4,63% 280,10
de 291 a 310 654 8,62% 106.539.076,72 8,18% 162.903,79 56,68% 4,54% 297,99
de 311 a 330 601 7,92% 105.882.537,18 8,13% 176.177,27 57,43% 4,65% 323,60
de 331 a 350 847 11,16% 173.486.532,71 13,32% 204.824,71 61,59% 4,66% 340,65
Más de 351 3.257 42,93% 637.345.385,99 48,92% 195.684,80 62,13% 4,51% 356,30
Totales 7 .587 100% 1.302.885.267,27 100% 171.726,01 57,81% 4,56% 316,72
