AyT Genova Hipotecario XI FTH
Distribución por Vencimiento Final
Año Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Vencimiento Préstamos préstamos Vivo Vivo Medio Medio ponder Medio ponder. Media ponder.
Antes de 2012 12 0,16% 686.749,43 0,05% 57.229,12 20,29% 4,66% 52,29
En 2013 21 0,28% 1.233.574,66 0,09% 58.741,65 24,85% 4,66% 68,67
En 2014 50 0,66% 3.956.575,66 0,30% 79.131,51 32,10% 4,57% 81,92
En 2015 34 0,45% 2.418.460,70 0,19% 71.131,20 28,59% 4,70% 92,98
En 2016 54 0,71% 4.267.042,20 0,33% 79.019,30 26,97% 4,57% 106,15
En 2017 85 1,12% 7.601.812,59 0,58% 89.433,09 32,55% 4,57% 115,98
En 2018 45 0,59% 5.806.447,62 0,45% 129.032,17 36,54% 4,62% 127,62
En 2019 73 0,96% 6.910.643,09 0,53% 94.666,34 38,37% 4,59% 140,26
En 2020 65 0,86% 6.272.475,34 0,48% 96.499,62 39,27% 4,64% 153,59
En 2021 89 1,17% 10.644.481,15 0,82% 119.600,91 40,90% 4,64% 166,49
En 2022 198 2,61% 21.681.186,64 1,66% 109.500,94 43,04% 4,53% 175,75
En 2023 92 1,21% 10.349.365,67 0,79% 112.493,11 43,41% 4,57% 190,63
En 2024 159 2,10% 20.626.460,32 1,58% 129.726,17 46,49% 4,63% 202,27
En 2025 151 1,99% 19.442.249,85 1,49% 128.756,62 43,94% 4,59% 214,18
En 2026 178 2,35% 22.283.656,67 1,71% 125.189,08 47,01% 4,57% 228,05
En 2027 363 4,78% 52.016.322,21 3,99% 143.295,65 49,26% 4,52% 236,49
En 2028 99 1,30% 13.787.094,59 1,06% 139.263,58 52,30% 4,64% 251,64
En 2029 183 2,41% 26.544.800,90 2,04% 145.053,56 51,14% 4,64% 263,31
En 2030 162 2,14% 24.395.665,49 1,87% 150.590,53 52,79% 4,62% 274,44
En 2031 231 3,04% 37.118.907,67 2,85% 160.687,91 53,79% 4,58% 288,93
En 2032 468 6,17% 75.871.551,49 5,82% 162.118,70 57,41% 4,55% 297,71
En 2033 170 2,24% 28.269.744,41 2,17% 166.292,61 56,75% 4,61% 311,89
En 2034 462 6,09% 82.849.273,39 6,36% 179.327,43 57,71% 4,67% 324,68
En 2035 505 6,66% 104.554.021,27 8,02% 207.037,67 59,58% 4,65% 335,63
En 2036 1.288 16,98% 256.639.300,77 19,70% 199.254,12 62,90% 4,58% 351,32
En 2037 2.350 30,97% 456.657.403,49 35,05% 194.322,30 61,93% 4,49% 357,50
Totales 7.587 100% 1 .302.885.267 100% 171.726,01 57,81% 4,56% 316,72
