AyT Genova Hipotecario XI FTH
Distribución por Frecuencia de Reseteo
Proxima Revisión Número de % sobre el total Saldo % Saldo Saldo LTV Tipo de Interés Vida Residual
Préstamos préstamos Vivo Vivo medio Medio ponder medio ponderado Media ponderada

diciembre-07 936 12,34% 160.831.559,10 12,34% 171.828,59 57,96% 4,22% 319,38
enero-08 812 10,70% 139.127.062,38 10,68% 171.338,75 58,03% 4,29% 321,34
febrero-08 816 10,76% 140.637.380,65 10,79% 172.349,73 58,42% 4,36% 318,12
marzo-08 965 12,72% 164.831.333,54 12,65% 170.809,67 57,39% 4,48% 319,11
abril-08 659 8,69% 115.796.348,98 8,89% 175.715,25 57,40% 4,51% 317,58
mayo-08 711 9,37% 125.722.342,69 9,65% 176.824,67 57,99% 4,57% 313,88
junio-08 706 9,31% 122.451.021,03 9,40% 173.443,37 57,00% 4,69% 312,41
julio-08 581 7,66% 97.524.024,76 7,49% 167.855,46 57,72% 4,83% 312,72
agosto-08 254 3,35% 40.639.822,80 3,12% 159.999,30 56,44% 4,94% 313,65
septiembre-08 245 3,23% 38.180.399,55 2,93% 155.838,37 57,72% 5,02% 301,63
octubre-08 274 3,61% 45.008.142,08 3,45% 164.263,29 58,22% 5,12% 315,84
noviembre-08 628 8,28% 112.135.829,71 8,61% 178.560,24 58,76% 4,89% 318,95

Totales 7 .587 100% 1.302.885.267 100% 171.726,01 57,81% 4,56% 316,72
