AyT Genova Hipotecario XI FTH
Distribución por Saldo Inicial
Saldo Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Vivo Préstamos préstamos Vivo Vivo Medio Medio ponder Medio ponder. Media ponder.
Menos de 50.000 77 1,01% 3.030.822,26 0,23% 39.361,33 22,00% 4,60% 194,06
entre 50.000 Y 99.999 1.013 13,35% 73.530.812,79 5,64% 72.587,18 38,91% 4,58% 251,37
entre 100.000 Y 149.999 2.037 26,85% 238.551.810,75 18,31% 117.109,38 52,88% 4,56% 302,86
entre 150.000 Y 199.999 2.017 26,58% 326.224.429,13 25,04% 161.737,45 58,49% 4,55% 322,15
entre 200.000 Y 299.999 1.592 20,98% 346.708.392,60 26,61% 217.781,65 61,85% 4,56% 327,20
entre 300.000 Y 399.999 496 6,54% 150.567.970,37 11,56% 303.564,46 62,26% 4,56% 330,09
entre 400.000 Y 499.999 187 2,46% 70.201.737,42 5,39% 375.410,36 60,83% 4,56% 334,32
entre 500.000 Y 599.999 66 0,87% 28.976.428,61 2,22% 439.036,80 61,73% 4,59% 326,23
entre 600.000 Y 699.999 42 0,55% 20.652.356,86 1,59% 491.722,78 59,31% 4,60% 312,90
entre 700.000 Y 799.999 18 0,24% 10.441.601,32 0,80% 580.088,96 55,51% 4,66% 323,52
entre 800.000 y 999.999 20 0,26% 13.509.807,27 1,04% 675.490,36 62,01% 4,59% 307,74
Más de 1.000.000 22 0,29% 20.489.097,89 1,57% 931.322,63 57,67% 4,56% 301,03
Totales 7.587 100% 1.302.885.267,27 100% 171.726,01 57,81% 4,56% 316,72
