AyT Genova Hipotecario XI FTH
Distribución por Saldo Vivo
Saldo Número % sobre total Saldo % Saldo Saldo Vivo LTV Tipo de interés Vida residual
Vivo Préstamos préstamos Vivo Vivo Medio Medio Ponder Medio ponder. Media ponder.
Menos de 50.000 200 2,64% 8.378.867,21 0,64% 41.894,34 23% 4,64% 169,80
entre 50.000 Y 99.999 1.291 17,02% 101.986.053,93 7,83% 78.997,72 39% 4,58% 248,98
entre 100.000 Y 149.999 2.224 29,31% 279.818.426,12 21,48% 125.817,64 53% 4,56% 304,72
entre 150.000 Y 199.999 1.906 25,12% 330.138.879,79 25,34% 173.210,33 59% 4,55% 326,14
entre 200.000 Y 299.999 1.362 17,95% 325.938.336,56 25,02% 239.308,62 63% 4,55% 331,69
entre 300.000 Y 399.999 373 4,92% 126.774.418,59 9,73% 339.877,80 64% 4,55% 335,62
entre 400.000 Y 499.999 128 1,69% 57.174.996,81 4,39% 446.679,66 64% 4,59% 333,28
entre 500.000 Y 599.999 48 0,63% 26.461.406,15 2,03% 551.279,29 63% 4,58% 326,07
entre 600.000 Y 699.999 16 0,21% 10.252.019,42 0,79% 640.751,21 65% 4,73% 327,02
entre 700.000 Y 799.999 14 0,18% 10.358.627,70 0,80% 739.901,98 64% 4,65% 332,13
entre 800.000 y 999.999 10 0,13% 8.898.537,52 0,68% 889.853,75 64% 4,47% 313,30
Más de 1.000.000 15 0,20% 16.704.697,47 1,28% 1.113.646,50 64% 4,57% 297,56
Totales 7.587 100% 1.302.885.267,27 100% 171.726,01 57,81% 4,56% 316,72
