BALANCE DEL FONDO (en su origen) (*),,,
EUROS,,,
ACTIVO,,PASIVO,
,,,
Certificados,2.400.000.000,Serie A1,1.351.200.000
,,Serie A2,835.200.000
,,Serie B,60.000.000
,,Serie C,74.400.000
,,Serie D,52.800.000
,,Serie E,26.400.000
Tesorería,,,
Fondo de Reserva,82.560.000,Préstamo Participativo,82.560.000
,,,
,,Crédito Subordinado,
Gastos Iniciales activados,9.213.000,dispuesto,9.213.000
,,,
Cupón Corrido,7.000.000,Préstamo Cupón Corrido,7.000.000
,,,
TOTAL ACTIVO,2.501.773.000,TOTAL PASIVO,2.501.773.000
,,,
CUENTAS DE ORDEN,,,
,,Crédito Subordinado,
,,pendiente,
Recursos para desfase,16.000.000,(20 de febrero de 2008),16.000.000
,,,
